,v_succ,v_gluc,K_gluc,K_succ,q_succ,q_gluc,a,N0,lag_succ,lag_succ_width,lag_gluc,lag_gluc_width
At,0.651,0.696,1.26,0.44,0.16,0.172,1,0.003,3.5,3,9.5,10
Oa,0.573,0.877,2.67,0.001,0.0853333333333333,0.128,1,0.002,8.5,4,20,9
