,v_succ,v_gluc,K_gluc,K_succ,q_succ,q_gluc,a,N0,s_in,g_in
At,0.651,0.696,10.447292,0.26,2.10e7,3.90E+06,1,3.20E+08,22.896766,8.55437212563409
Oa,0.877,0.573,5.85524443930257,0.00284901990043571,563511127.783367,13739015.1955184,1,513333333.333333,8.55437212563409,8.55437212563409
