, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0947,0.0911,0.0919,1.1173,1.0976,1.1129,1.1179,1.1260,1.1071,1.1089,1.1241,1.2181,600
B,0.1046,0.1022,0.1138,1.0549,1.0628,1.0843,1.2663,1.4309,1.2152,1.1261,1.1463,1.0764,600
C,0.6619,0.6872,0.7428,0.7683,0.7844,0.7924,0.7085,0.7589,0.7438,0.6695,0.6867,0.7007,600
D,0.1222,0.1080,0.1095,0.8261,0.8217,0.7986,0.8100,0.8183,0.8109,0.7628,0.7380,0.7628,600
E,0.3880,0.4010,0.3682,0.5875,0.4622,0.6333,0.2654,0.2598,0.2305,0.1773,0.1747,0.2019,600
F,1.0644,1.0302,1.0451,1.0866,1.0843,1.1201,1.0754,1.1301,1.1318,1.0425,1.0429,1.0924,600
G,0.9833,1.0532,1.0842,0.6044,0.6479,0.6485,0.8131,0.9715,0.8320,0.7709,0.7356,0.7885,600
H,0.0941,0.1272,0.1120,1.1677,1.1478,1.1811,0.7833,0.8863,0.8211,0.7780,0.8484,0.7564,600
