, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0921,0.0889,0.0893,1.0730,1.0480,1.0354,1.0724,1.0861,1.0821,1.1195,1.1600,1.3288,600
B,0.1102,0.1066,0.1175,1.0385,1.0439,1.0564,0.7663,0.6711,0.7888,0.6802,0.7957,0.6336,600
C,0.6201,0.6028,0.6504,0.7572,0.7809,0.7762,0.7003,0.7675,0.7099,0.6196,0.6348,0.6444,600
D,0.1418,0.1180,0.1658,0.7143,0.7160,0.6231,0.7182,0.7116,0.6989,0.6647,0.6776,0.5415,600
E,0.3534,0.3642,0.3351,0.5630,0.4263,0.5443,0.3004,0.2988,0.2765,0.2124,0.2298,0.2276,600
F,0.7337,0.7971,0.8459,1.0922,1.0640,1.0884,1.0441,0.9706,0.9274,0.8745,0.8849,0.8761,600
G,0.6858,0.9963,1.0394,0.7271,0.7214,0.7433,0.7222,0.8285,0.7879,0.7584,0.7253,0.7943,600
H,0.0938,0.1765,0.1062,1.0815,1.2721,1.0040,0.6962,0.7750,0.7281,0.6738,0.7180,0.6540,600
