, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.1011,0.0961,0.0962,0.0994,0.1006,0.1030,0.1078,0.1107,0.1105,0.1136,0.1208,0.1048,600
B,0.1029,0.1064,0.1083,0.1128,0.1271,0.1324,0.1403,0.1535,0.1547,0.1540,0.1511,0.1050,600
C,0.1013,0.1006,0.1130,0.1161,0.1243,0.1281,0.1383,0.1394,0.1567,0.1523,0.1510,0.0983,600
D,0.0954,0.0991,0.1088,0.1224,0.1236,0.1268,0.1318,0.1362,0.1376,0.1478,0.1424,0.1058,600
E,0.1065,0.1032,0.1175,0.1285,0.1277,0.1356,0.1417,0.1403,0.1463,0.1538,0.1493,0.1288,600
F,0.1059,0.1088,0.1076,0.1215,0.1284,0.1283,0.1307,0.1372,0.1392,0.1437,0.1505,0.1506,600
G,0.1025,0.1076,0.1083,0.1177,0.1295,0.1369,0.1359,0.1370,0.1408,0.1452,0.1526,0.1486,600
H,0.1035,0.1041,0.1031,0.1028,0.1070,0.1071,0.1086,0.1093,0.1075,0.1055,0.1002,0.1022,600
