, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0933,0.0915,0.0922,0.8563,0.8603,0.8699,1.1497,1.1646,1.1500,1.1393,1.1152,1.1574,600
B,0.1010,0.1010,0.1109,0.9855,0.9957,1.0048,1.2564,1.2939,1.3418,1.1688,1.1216,1.2808,600
C,0.7304,0.7447,0.7812,0.8276,0.8500,0.8749,0.7545,0.8065,0.7960,0.7271,0.7492,0.7537,600
D,0.1154,0.1089,0.1087,0.8727,0.9117,0.9129,0.9612,0.9696,0.9499,0.8693,0.8388,0.8932,600
E,0.4302,0.4433,0.4129,0.6221,0.5684,0.6816,0.1481,0.1534,0.1431,0.1300,0.1297,0.1278,600
F,1.0998,1.0340,1.0552,0.8685,0.8859,0.9340,1.0738,1.0894,1.0790,1.0640,1.0681,1.0982,600
G,0.9917,1.0043,1.0155,0.5959,0.6072,0.6119,0.4628,0.4271,0.4015,0.5398,0.5161,0.5347,600
H,0.0930,0.1040,0.1017,0.2721,0.2679,0.2623,0.8864,0.8928,0.9202,0.8948,0.9789,0.8841,600
