, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.2201,0.2201,0.2248,1.3265,1.3270,1.3179,0.1617,0.1613,0.1605,1.1110,1.1370,1.2399,600
B,0.0980,0.0932,0.0951,0.0936,0.0936,0.0944,0.0963,0.0959,0.0985,0.0946,0.0953,0.1033,600
C,0.1006,0.0984,0.1024,0.1018,0.1019,0.1019,0.1352,0.1055,0.1006,0.1014,0.0981,0.1056,600
D,0.5007,0.4476,0.4182,1.2308,1.2123,1.2419,0.2971,0.3225,0.3042,0.1521,0.1554,0.1353,600
E,0.4595,0.5058,0.4462,0.8178,0.9019,0.8691,0.6361,0.6100,0.5790,0.5950,0.5843,0.6046,600
F,0.1989,0.2553,0.2913,0.2239,0.2571,0.2568,0.3366,0.3366,0.3345,0.2614,0.2698,0.2482,600
G,0.1171,0.1127,0.1133,1.0640,1.0488,1.0450,0.1040,0.1052,0.1045,0.1022,0.0990,0.1052,600
H,0.1845,0.1896,0.1861,0.4309,0.4538,0.4585,0.1251,0.1245,0.1277,0.9241,0.9292,0.9329,600
