, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0939,0.0897,0.0905,1.1079,1.0891,1.0904,1.0910,1.0952,1.0798,1.0934,1.1223,1.2279,600
B,0.1032,0.1022,0.1139,1.0500,1.0588,1.0804,1.1654,0.9861,1.2978,0.8908,0.8729,1.2910,600
C,0.6417,0.6797,0.7308,0.7759,0.7935,0.7954,0.7198,0.7806,0.7593,0.6669,0.6845,0.6855,600
D,0.1220,0.1066,0.1080,0.7824,0.7832,0.7358,0.7699,0.7968,0.7897,0.7484,0.7272,0.7023,600
E,0.3742,0.3861,0.3565,0.5940,0.4502,0.6097,0.3193,0.2877,0.2806,0.2182,0.2365,0.2405,600
F,1.0081,0.9697,0.9947,1.0924,1.0855,1.1178,1.1030,1.0997,1.0831,1.0427,1.0435,1.0997,600
G,0.9375,1.0363,1.0616,0.6363,0.6763,0.6792,0.7782,0.9254,0.8047,0.7557,0.7212,0.7703,600
H,0.0943,0.1586,0.1050,1.2580,1.2395,1.2045,0.7540,0.8545,0.7919,0.7380,0.7980,0.7227,600
