, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0945,0.0904,0.0911,0.6688,0.6633,0.6526,1.1550,1.1664,1.1521,1.1415,1.1157,1.1519,600
B,0.1001,0.1004,0.1097,0.9429,0.9505,0.9494,1.2333,1.3060,1.2754,1.1950,1.2219,1.2991,600
C,0.7344,0.7527,0.7803,0.8306,0.8588,0.8936,0.7645,0.8116,0.8031,0.7355,0.7543,0.7688,600
D,0.1122,0.1077,0.1064,0.6977,0.6997,0.7158,0.9956,1.0131,0.9938,0.9033,0.8799,0.9218,600
E,0.4524,0.4891,0.4806,0.6492,0.6332,0.7004,0.1661,0.1426,0.1492,0.1267,0.1269,0.1232,600
F,1.1213,1.0362,1.0482,0.6526,0.6438,0.6707,1.0021,1.0112,0.9953,0.9943,1.0166,1.0557,600
G,0.9631,0.9674,0.9833,0.6018,0.5859,0.6200,0.4563,0.4076,0.3987,0.4669,0.4429,0.4658,600
H,0.0928,0.1045,0.1000,0.1876,0.1846,0.1813,0.9002,0.9071,0.9333,0.9225,0.9996,0.9127,600
