, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.2404,0.2398,0.2437,1.2409,1.2270,1.2253,0.2195,0.2170,0.2142,1.1189,1.1034,1.2752,600
B,0.0955,0.0914,0.0941,0.0922,0.0915,0.0919,0.0953,0.0954,0.0971,0.0930,0.0933,0.0973,600
C,0.2979,0.2838,0.3625,0.4325,0.1858,0.0990,0.1545,0.2150,0.0986,0.8743,0.0951,0.8538,600
D,0.5276,0.4552,0.4152,1.1535,1.1314,1.1688,0.3117,0.3143,0.3082,0.1693,0.1592,0.1211,600
E,0.4446,0.4931,0.4312,0.7134,0.7803,0.7625,0.6155,0.5919,0.5579,0.5718,0.5629,0.5772,600
F,0.2004,0.2865,0.3269,0.5254,1.1052,0.3144,0.3689,0.3676,0.3634,0.3032,0.3224,0.2947,600
G,0.1122,0.1094,0.1139,1.0724,1.0575,1.0547,0.1024,0.1030,0.1020,0.1054,0.0983,0.0969,600
H,0.1800,0.1900,0.1834,1.2694,1.2682,1.2669,0.1215,0.1208,0.1192,0.8985,0.9411,0.8925,600
