, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1.3255,1.3317,1.3442,1.3434,1.3113,1.3108,1.2625,1.2415,1.2641,1.0194,0.9899,1.0760,600
B,0.0976,0.0976,0.1009,0.0977,0.0973,0.0999,0.0989,0.0983,0.0995,0.0986,0.1018,0.1017,600
C,1.0757,1.1588,1.3684,1.4312,1.0621,0.1053,1.2717,1.1645,1.1817,0.1669,0.2034,0.1340,600
D,1.2843,1.2231,1.4008,1.3936,1.3903,1.3898,1.4054,1.3951,1.4249,1.2260,1.1089,1.1729,600
E,0.7248,0.7372,0.9650,0.9743,0.9102,0.9324,0.8775,0.8114,0.8899,0.8529,0.7420,0.6153,600
F,0.1239,0.1422,0.2730,1.3194,1.2606,1.3081,0.6366,0.6389,0.6457,0.5249,0.3533,0.1615,600
G,1.1043,0.9506,0.9674,1.0894,1.0846,1.0862,0.0961,0.0987,0.1025,0.0983,0.0972,0.1007,600
H,1.1078,1.1295,1.1808,1.5890,1.4414,1.6305,0.9684,0.9932,0.9658,0.5849,0.5530,0.5392,600
