, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.2032,0.2034,0.2075,0.6761,0.6515,0.6524,0.1230,0.1247,0.1236,1.0363,1.0427,0.9444,600
B,0.0956,0.0920,0.0945,0.0937,0.0925,0.0928,0.0948,0.0950,0.0975,0.0935,0.0944,0.1014,600
C,0.0992,0.0963,0.0988,0.0993,0.1013,0.1012,0.1030,0.1021,0.0999,0.0983,0.0958,0.1011,600
D,0.4093,0.3877,0.3686,1.0189,0.9879,1.0289,0.2482,0.2628,0.2557,0.2077,0.1586,0.1577,600
E,0.5058,0.5575,0.4985,0.7918,0.8534,0.8553,0.8187,0.8325,0.7700,0.8169,0.8180,0.7901,600
F,0.1590,0.1800,0.1901,0.1430,0.1473,0.1540,0.1871,0.1934,0.1895,0.1627,0.1655,0.1612,600
G,0.1155,0.1152,0.1141,0.8397,0.8293,0.8103,0.1055,0.1064,0.1059,0.1012,0.1002,0.1063,600
H,0.1671,0.1764,0.1729,0.1119,0.1103,0.1112,0.1173,0.1178,0.1205,0.5665,0.5643,0.5688,600
