, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0937,0.0901,0.0909,1.0880,1.0659,1.0542,1.0726,1.0774,1.0646,1.0786,1.1234,1.2382,600
B,0.1043,0.1039,0.1145,1.0408,1.0461,1.0630,0.9196,0.8367,1.0570,0.9943,1.0553,0.8452,600
C,0.6039,0.6364,0.7254,0.7753,0.7958,0.7999,0.7287,0.7922,0.7600,0.6499,0.6714,0.6799,600
D,0.1286,0.1070,0.1067,0.7484,0.7501,0.6695,0.7497,0.7666,0.7568,0.7165,0.7157,0.6290,600
E,0.3637,0.3753,0.3469,0.5867,0.4390,0.5787,0.2943,0.2901,0.2842,0.2183,0.2363,0.2300,600
F,0.9449,0.9104,0.9342,1.0929,1.0768,1.1037,1.0807,1.0497,1.0165,0.9816,0.9817,1.0062,600
G,0.8551,1.0154,1.0379,0.7251,0.7169,0.7455,0.7377,0.8676,0.7852,0.7490,0.7149,0.7746,600
H,0.0933,0.1602,0.1078,1.3132,1.2887,1.0803,0.7288,0.8218,0.7672,0.7057,0.7661,0.6857,600
