, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0940,0.0919,0.0928,0.9693,0.9479,0.9565,1.1483,1.1644,1.1497,1.1374,1.1198,1.1770,600
B,0.1021,0.1010,0.1108,1.0080,1.0165,1.0332,1.2937,1.3199,1.2580,1.1615,1.0617,1.2840,600
C,0.6962,0.7274,0.7630,0.8237,0.8450,0.8641,0.7438,0.7990,0.7786,0.7041,0.7327,0.7356,600
D,0.1172,0.1092,0.1095,0.8753,0.8951,0.8962,0.9406,0.9459,0.9277,0.8480,0.8109,0.8684,600
E,0.4216,0.4328,0.4013,0.6175,0.5548,0.6710,0.1529,0.1523,0.1486,0.1322,0.1313,0.1302,600
F,1.0842,1.0403,1.0591,0.9295,0.9255,0.9761,1.0952,1.1196,1.1234,1.0880,1.0882,1.1268,600
G,1.0081,1.0251,1.0363,0.5918,0.6036,0.6129,0.4729,0.5495,0.4088,0.6569,0.6250,0.6551,600
H,0.0930,0.1048,0.1036,0.3692,0.3592,0.3514,0.8694,0.8759,0.9064,0.8609,0.9384,0.8480,600
