, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1.3403,1.3256,1.3294,1.2712,1.2547,1.2803,1.2415,1.2272,1.2700,0.1908,0.1814,0.1790,600
B,0.0976,0.0963,0.1000,0.0979,0.0977,0.1005,0.0980,0.0979,0.0995,0.0986,0.1013,0.0981,600
C,0.1036,0.1106,0.1328,0.1557,0.1302,0.1056,0.1189,0.1168,0.1124,0.1082,0.1176,0.1022,600
D,1.2911,1.2659,1.2836,1.2757,1.2623,1.2801,1.2521,1.2337,1.2624,1.1843,1.1572,1.2007,600
E,0.8397,0.8614,0.9074,0.8473,0.7874,0.8186,0.7805,0.7267,0.7352,0.6087,0.6426,0.6350,600
F,0.1248,0.1277,0.1534,0.3912,0.3920,0.3984,0.2876,0.2702,0.2825,0.2021,0.1594,0.1358,600
G,0.7821,0.7747,0.7866,1.0775,1.0760,1.0663,0.1023,0.1015,0.1027,0.1025,0.1012,0.1082,600
H,1.0007,1.0001,0.9495,1.0003,0.8738,1.0037,1.0630,1.0692,1.1041,0.1181,0.1108,0.1155,600
