, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.4613,0.4877,0.4516,0.0941,0.0938,0.0961,0.0864,0.0843,0.0905,0.0885,0.2366,0.1083,600
B,0.2972,0.4131,0.4056,0.0996,0.0975,0.0975,0.0903,0.0945,0.0850,0.0875,0.2413,0.0908,600
C,0.4493,0.2931,0.2804,0.0925,0.0915,0.0912,0.2556,0.0858,0.0872,0.0918,0.2325,0.0966,600
D,0.3531,0.3510,0.3645,0.1062,0.1045,0.1072,0.0904,0.0910,0.0870,0.0875,1.1873,0.0933,600
E,0.3588,0.3342,0.3805,0.1088,0.1094,0.1133,0.0906,0.0908,0.0857,0.0885,0.0951,0.0937,600
F,0.7558,0.6923,0.7094,0.1950,0.2040,0.2088,0.0879,0.0888,0.0901,1.0221,1.6293,0.0960,600
G,0.3837,0.3717,0.3790,0.0990,0.0955,0.0994,0.2097,0.0918,0.0878,0.0924,0.1023,0.1047,600
H,0.5900,0.6528,0.6354,0.1079,0.0964,0.1051,0.0895,0.0906,0.0989,0.0955,0.1007,0.0965,600
