, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.2017,0.2015,0.2054,1.0551,1.0488,1.0599,0.1211,0.1223,0.1213,1.0474,1.0672,1.0171,600
B,0.0932,0.0916,0.0954,0.0929,0.0917,0.0924,0.0947,0.0948,0.0967,0.0928,0.0935,0.0972,600
C,0.0975,0.0955,0.0990,0.0987,0.1010,0.1018,0.1034,0.1023,0.0996,0.0982,0.0962,0.0988,600
D,0.4584,0.4200,0.3990,1.1530,1.1392,1.1444,0.2709,0.2999,0.2680,0.1635,0.1513,0.1526,600
E,0.4809,0.5276,0.4737,0.8485,0.9210,0.8907,0.6894,0.6618,0.6213,0.6428,0.6437,0.6565,600
F,0.1685,0.2027,0.2271,0.1627,0.1705,0.1815,0.2462,0.2494,0.2458,0.1941,0.1941,0.1814,600
G,0.1112,0.1130,0.1131,0.9840,0.9771,0.9852,0.1042,0.1053,0.1052,0.1000,0.0983,0.1015,600
H,0.1669,0.1739,0.1714,0.1312,0.1330,0.1371,0.1182,0.1177,0.1182,0.8911,0.8748,0.9202,600
