, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.4641,0.4903,0.4587,0.0940,0.0939,0.0962,0.0860,0.0851,0.0913,0.0856,0.2293,0.1085,600
B,0.3459,0.4175,0.4126,0.0999,0.0983,0.0976,0.0917,0.0914,0.0854,0.0888,0.2314,0.0893,600
C,0.4079,0.2919,0.2819,0.0927,0.0920,0.0913,0.2862,0.0868,0.0883,0.0902,0.2233,0.0969,600
D,0.3628,0.3679,0.3882,0.1098,0.1058,0.1095,0.0917,0.0918,0.0879,0.0888,1.1949,0.0939,600
E,0.3616,0.3380,0.4576,0.1092,0.1086,0.1140,0.0903,0.0899,0.0863,0.0886,0.0958,0.0932,600
F,0.7475,0.6933,0.7065,0.1934,0.2024,0.1999,0.0902,0.0887,0.0921,1.0496,1.6609,0.0969,600
G,0.3923,0.3764,0.3833,0.0995,0.0960,0.0999,0.1733,0.0918,0.0880,0.0928,0.1040,0.1026,600
H,0.6190,0.6541,0.6343,0.1101,0.0972,0.1041,0.0907,0.0888,0.0999,0.0975,0.0986,0.0987,600
