, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.2160,0.2167,0.2211,1.3342,1.3356,1.3256,0.1571,0.1558,0.1539,1.1150,1.1431,1.2259,600
B,0.0964,0.0924,0.0955,0.0933,0.0925,0.0937,0.0968,0.0968,0.0988,0.0943,0.0946,0.1027,600
C,0.1000,0.0978,0.1011,0.1009,0.1018,0.1020,0.1189,0.1040,0.1007,0.1001,0.0974,0.1043,600
D,0.4968,0.4460,0.4181,1.2342,1.2173,1.2462,0.2988,0.3219,0.3028,0.1593,0.1605,0.1436,600
E,0.4599,0.5057,0.4487,0.8238,0.9174,0.8770,0.6406,0.6115,0.5834,0.5964,0.5860,0.6078,600
F,0.1978,0.2515,0.2836,0.2137,0.2476,0.2497,0.3273,0.3285,0.3258,0.2542,0.2602,0.2440,600
G,0.1171,0.1132,0.1130,1.0613,1.0442,1.0411,0.1040,0.1050,0.1037,0.1020,0.0989,0.1056,600
H,0.1820,0.1881,0.1845,0.3699,0.3851,0.3912,0.1230,0.1243,0.1259,0.9224,0.9266,0.9360,600
