, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.5036,0.5043,0.5020,0.0958,0.0952,0.0966,0.0869,0.0869,0.0929,0.0882,0.1394,0.0975,600
B,0.4343,0.4499,0.4566,0.1007,0.0996,0.0976,0.0918,0.0917,0.0858,0.0896,0.1415,0.0926,600
C,0.2852,0.2912,0.2928,0.0934,0.0941,0.0925,0.2913,0.0869,0.0896,0.0917,0.1348,0.0931,600
D,0.5153,0.5192,0.5191,0.1116,0.1075,0.1105,0.0917,0.0921,0.0870,0.0874,1.2177,0.0913,600
E,0.5162,0.5428,0.5620,0.1126,0.1137,0.1266,0.0884,0.0907,0.0865,0.0899,0.0982,0.0902,600
F,0.7340,0.7339,0.7395,0.1509,0.1585,0.1582,0.0916,0.0881,0.0933,0.0981,1.4990,0.1014,600
G,0.4127,0.4053,0.4117,0.1020,0.1003,0.1005,0.1983,0.0931,0.0901,0.0935,0.1033,0.0985,600
H,0.5758,0.5741,0.5753,0.1114,0.1017,0.1024,0.0933,0.0932,0.0957,0.0937,0.0940,0.0960,600
