, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0935,0.0901,0.0909,1.0790,1.0530,1.0435,1.0665,1.0746,1.0619,1.0787,1.1238,1.2377,600
B,0.1061,0.1046,0.1149,1.0374,1.0408,1.0605,1.0596,0.9313,1.0847,0.9064,1.0048,0.8620,600
C,0.5984,0.6236,0.7166,0.7804,0.7942,0.7973,0.7294,0.7918,0.7541,0.6471,0.6608,0.6765,600
D,0.1165,0.1075,0.1118,0.7302,0.7305,0.6525,0.7421,0.7512,0.7392,0.7015,0.7085,0.6090,600
E,0.3632,0.3751,0.3439,0.5810,0.4358,0.5661,0.2903,0.2820,0.2923,0.2193,0.2370,0.2359,600
F,0.8817,0.8874,0.9132,1.0952,1.0753,1.1047,1.0775,1.0396,1.0031,0.9602,0.9619,0.9815,600
G,0.8107,1.0052,1.0269,0.7167,0.7093,0.7314,0.7263,0.8495,0.7789,0.7454,0.7110,0.7790,600
H,0.0943,0.1624,0.1088,1.1607,1.2934,1.0590,0.7223,0.8182,0.7575,0.6949,0.7523,0.6775,600
