, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.5097,0.5269,0.5147,0.0983,0.0975,0.0982,0.0871,0.0866,0.0933,0.0897,0.1438,0.0948,600
B,0.4234,0.4328,0.4392,0.1019,0.1005,0.0977,0.0924,0.0922,0.0865,0.0893,0.1553,0.0916,600
C,0.2872,0.2900,0.2924,0.0949,0.0940,0.0936,0.3148,0.0875,0.0897,0.0905,0.1442,0.0925,600
D,0.5818,0.5815,0.5798,0.1115,0.1073,0.1105,0.0932,0.0919,0.0872,0.0881,0.9643,0.0925,600
E,0.6576,0.6154,0.6467,0.1178,0.1206,0.1267,0.0889,0.0905,0.0872,0.0893,0.1005,0.0913,600
F,0.6966,0.7056,0.7096,0.1426,0.1455,0.1537,0.0901,0.0899,0.0915,0.0957,0.9277,0.1024,600
G,0.4319,0.4287,0.4287,0.1048,0.1029,0.1033,0.2106,0.0920,0.0908,0.0933,0.1010,0.0930,600
H,0.5498,0.5546,0.5547,0.1158,0.1036,0.1046,0.0945,0.0909,0.0955,0.0927,0.0924,0.0914,600
