, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.1030,0.1006,0.0980,0.1022,0.1033,0.1036,0.1101,0.1142,0.1130,0.1101,0.1111,0.1122,600
B,0.1039,0.1057,0.1115,0.1151,0.1131,0.1132,0.1108,0.1150,0.1119,0.1157,0.1135,0.1084,600
C,0.1017,0.0971,0.0996,0.0973,0.1066,0.1198,0.1342,0.1406,0.1513,0.1565,0.1216,0.0940,600
D,0.0981,0.0981,0.0968,0.0944,0.1075,0.1267,0.1346,0.1397,0.1461,0.1627,0.1344,0.0993,600
E,0.1095,0.1074,0.1030,0.1118,0.1133,0.1411,0.1496,0.1444,0.1589,0.1689,0.1613,0.1031,600
F,0.1045,0.1057,0.1040,0.1010,0.1017,0.1216,0.1294,0.1398,0.1459,0.1460,0.1551,0.1037,600
G,0.1016,0.1048,0.1064,0.1144,0.1109,0.1123,0.1074,0.1075,0.1044,0.1073,0.1105,0.1021,600
H,0.1022,0.1044,0.1010,0.1018,0.1033,0.1027,0.1114,0.1105,0.1073,0.1043,0.1042,0.1045,600
