, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0855,0.0885,0.0883,0.0925,0.0872,0.0913,0.0932,0.0909,0.0946,0.0872,0.0838,0.0831,OD600:600
B,0.0894,0.5953,0.7653,0.7977,0.6810,0.7152,0.6940,0.7539,0.7408,0.7226,0.1036,0.0924,OD600:600
C,0.0945,0.5564,0.6574,0.9202,0.7194,0.7108,0.6911,0.8633,0.8674,0.8657,0.3043,0.0950,OD600:600
D,0.0924,0.3379,0.5914,0.6376,0.5066,0.5322,0.5066,0.5930,0.6322,0.6060,0.3574,0.0982,OD600:600
E,0.0956,0.1869,0.3883,0.4110,0.3960,0.4109,0.4138,0.3735,0.4405,0.4006,0.3507,0.0976,OD600:600
F,0.1000,0.1612,0.3862,0.4093,0.3430,0.3629,0.3504,0.3804,0.4352,0.4274,0.3477,0.3412,OD600:600
G,0.0963,0.1415,0.3697,0.3575,0.3155,0.3396,0.3596,0.2924,0.3825,0.3220,0.3534,0.2808,OD600:600
H,0.0932,0.2710,0.1424,0.1110,0.1035,0.1065,0.1112,0.1143,0.1070,0.1014,0.0878,0.0861,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,3700,1000,1000,1300,0000,3800,2400,1400,5000,1000,9000,3300,479,520
B,0000,7080,8860,9250,9000,0000,7000,5980,6030,5440,0000,0000,479,520
C,0000,5190,5240,2570,0000,1200,0000,1410,1720,2190,0000,1200,479,520
D,0000,2430,1970,8000,0000,0000,8000,5800,6800,6500,1000,0000,479,520
E,0000,1360,4700,3800,9000,3000,0000,2100,2300,1200,2000,0000,479,520
F,0000,1170,5200,4000,9000,3000,1400,1300,2800,1400,0000,0000,479,520
G,6000,4200,4300,1800,9000,0000,0000,1200,1000,0000,1800,2000,479,520
H,0000,0000,2400,0000,1100,1400,3000,1300,0000,3000,1000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,3000,3400,1400,1400,2100,1800,1900,2600,7800,3800,2300,2600,579,616
B,1700,3900,2100,5500,12384,11933,12694,4714,4734,4641,1900,3000,579,616
C,3000,5100,3900,2100,2878,2840,2785,1057,1363,1558,2000,0000,579,616
D,1500,2200,1200,3800,1057,1040,1073,5360,5010,4280,0000,8000,579,616
E,4000,0000,3000,1900,5080,4460,5320,1870,1930,1590,7000,0000,579,616
F,2800,1300,0000,2400,3270,2410,3020,1190,1110,1690,0000,0000,579,616
G,2200,5400,9000,1600,9300,1120,1320,8400,8100,8300,0000,1400,579,616
H,0000,6000,2900,1700,0000,2300,5000,1100,2000,3300,2700,3000,579,616
