, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0393,0.0355,0.0371,0.0383,0.0370,0.0401,0.0371,0.0383,0.0380,0.0467,0.0378,0.0385,OD600:600
B,0.0397,0.5855,0.5966,0.5863,0.0556,0.0554,0.0557,0.3465,0.3448,0.3353,0.0419,0.0642,OD600:600
C,0.0429,0.5157,0.5172,0.5369,0.0447,0.0448,0.0463,0.3108,0.3089,0.3076,0.0379,0.0389,OD600:600
D,0.0379,0.3763,0.3688,0.3696,0.0450,0.0440,0.0440,0.2797,0.2821,0.2713,0.0371,0.0377,OD600:600
E,0.0393,0.2021,0.2006,0.1923,0.0428,0.0426,0.0428,0.1382,0.1341,0.1384,0.0383,0.0379,OD600:600
F,0.0366,0.0989,0.0941,0.0970,0.0448,0.0431,0.0431,0.0756,0.0766,0.0753,0.0383,0.0387,OD600:600
G,0.0384,0.0570,0.0748,0.0576,0.0446,0.0436,0.0437,0.0533,0.0532,0.0545,0.0387,0.0371,OD600:600
H,0.0369,0.0462,0.0389,0.0381,0.0365,0.0378,0.0359,0.0376,0.0373,0.0380,0.0384,0.0385,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0000,8000,0000,2600,1000,4000,2100,3000,2300,7000,4000,1700,479,520
B,2000,1293,1318,1319,0000,1500,6000,9290,9210,8930,7000,1000,479,520
C,0000,1225,1255,1260,0000,0000,2300,8290,8290,8080,0000,1000,479,520
D,0000,7230,7350,7060,5000,0000,9000,6570,6600,6180,0000,0000,479,520
E,0000,3380,3100,3150,0000,1700,5000,2410,2300,2450,0000,0000,479,520
F,4000,1510,1270,1330,6000,1700,1300,1150,1000,1090,2300,0000,479,520
G,8000,3900,4500,5700,1300,0000,8000,5800,4600,3900,3000,1300,479,520
H,3000,6000,0000,8000,0000,0000,1000,0000,8000,6000,0000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,2300,1700,0000,9000,7000,1300,2300,0000,3400,1500,2900,2400,579,616
B,9000,1000,7000,1200,5530,5520,5210,6100,5560,5930,0000,0000,579,616
C,1900,0000,1300,1900,2480,1780,2190,3990,3590,3950,1800,3100,579,616
D,7000,0000,1000,0000,2670,1920,1800,3440,3570,3320,1300,3000,579,616
E,1000,3200,3300,1300,1940,1520,1440,1520,1550,1730,1400,2300,579,616
F,2300,1500,3000,2500,1910,2160,2300,7100,7700,8600,9000,5000,579,616
G,1300,1700,4800,1600,2520,2020,1390,7200,1030,8500,2800,3200,579,616
H,3200,3500,1000,0000,2200,4000,2300,2000,0000,2000,1800,7000,579,616
