, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0855,0.0806,0.0807,0.0848,0.0803,0.0845,0.0822,0.0814,0.0836,0.0888,0.0825,0.0834,OD600:600
B,0.0918,0.9909,0.9640,0.9600,0.6786,0.6860,0.6781,0.9826,0.9735,0.9904,0.0987,0.0856,OD600:600
C,0.0981,0.8028,0.7777,0.7621,0.5075,0.5032,0.4963,0.7809,0.7743,0.7812,0.0968,0.0837,OD600:600
D,0.0892,0.5596,0.5416,0.5444,0.2841,0.2868,0.2816,0.5395,0.5464,0.5231,0.0978,0.0877,OD600:600
E,0.0933,0.3606,0.3542,0.3471,0.1646,0.1659,0.1658,0.3434,0.3278,0.3192,0.0978,0.0812,OD600:600
F,0.0921,0.2527,0.2318,0.1975,0.1215,0.1212,0.1257,0.1912,0.1993,0.1997,0.1064,0.0859,OD600:600
G,0.0929,0.1236,0.1413,0.1222,0.1104,0.1091,0.1079,0.1172,0.1177,0.1133,0.0982,0.0829,OD600:600
H,0.0812,0.1082,0.0879,0.0888,0.0942,0.0958,0.0965,0.0860,0.0841,0.0831,0.0823,0.0841,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1000,6000,0000,1000,0000,4000,0000,0000,1000,6000,7000,2000,479,520
B,0000,1330,1270,1277,8000,1400,1000,1062,1113,1102,0000,1000,479,520
C,0000,1037,9930,1026,1800,5000,1300,8450,8480,8600,0000,0000,479,520
D,0000,6660,6410,6430,5000,5000,1600,5600,5440,5330,0000,0000,479,520
E,0000,3820,3570,3620,2000,1300,1400,2730,2280,2420,0000,0000,479,520
F,0000,1890,1430,1450,0000,0000,8000,1090,1280,1140,1400,0000,479,520
G,0000,2500,6100,5500,1100,1800,0000,2800,3200,3000,0000,4000,479,520
H,0000,0000,0000,0000,7000,6000,6000,6000,1400,7000,0000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,2600,1400,4000,7000,1900,4000,1200,3400,2500,1100,2100,0000,579,616
B,0000,4000,7900,3800,16410,15477,15973,2571,2736,2788,2300,8000,579,616
C,0000,0000,5900,5300,11686,10439,10824,1736,1640,1761,3200,0000,579,616
D,2200,9000,3600,3000,5745,5602,5758,6570,7300,8480,7000,7000,579,616
E,3100,8000,2900,4400,2197,2505,2245,3730,3280,3700,1500,3000,579,616
F,5200,2500,4000,3500,9800,1019,9040,1870,2030,1960,4000,3000,579,616
G,0000,3900,0000,2200,4230,4130,3440,1890,1380,1300,1000,2500,579,616
H,1600,2100,6000,3500,5500,1000,3700,1300,1400,2000,2100,1300,579,616
