, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.1009,0.1194,0.0823,0.0856,0.0817,0.0854,0.0920,0.0934,0.0946,0.0976,0.0865,0.0819,OD600:600
B,0.0853,0.9800,1.2094,1.2756,1.0599,1.0710,1.0601,1.2621,1.2303,1.2191,0.1012,0.0890,OD600:600
C,0.0884,0.8918,0.9124,0.9917,0.8093,0.8126,0.7906,0.9817,0.9697,0.9881,0.1165,0.0909,OD600:600
D,0.0867,0.4366,0.4466,0.6730,0.5470,0.5458,0.5914,0.6679,0.7268,0.6399,0.1223,0.0937,OD600:600
E,0.0857,0.2733,0.2860,0.3056,0.4015,0.4404,0.4511,0.4738,0.4889,0.4853,0.2608,0.0950,OD600:600
F,0.0877,0.2082,0.2350,0.3236,0.3203,0.3799,0.3971,0.4249,0.4121,0.4261,0.3110,0.0986,OD600:600
G,0.0938,0.1439,0.1450,0.1620,0.1523,0.1541,0.1555,0.1784,0.1552,0.1571,0.1184,0.0993,OD600:600
H,0.0815,0.1305,0.1297,0.0961,0.0976,0.0959,0.0983,0.0961,0.0955,0.0893,0.0890,0.0844,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,9000,1030,2500,4000,0000,0000,1100,0000,1800,6000,0000,6000,479,520
B,0000,2006,2232,2357,1500,2400,1700,1651,1676,1690,0000,9000,479,520
C,4000,1465,1526,1468,1400,8000,1400,1034,1067,1096,0000,5000,479,520
D,5000,7480,6980,7240,9000,6000,1200,2590,3960,4450,0000,2000,479,520
E,4000,3800,3590,3020,6000,0000,0000,9000,9900,1080,1200,0000,479,520
F,5000,2670,2390,1990,0000,2600,8000,6000,7200,5900,0000,1000,479,520
G,0000,9700,8700,8000,0000,0000,1000,5600,5400,5900,1200,0000,479,520
H,1600,1060,7200,0000,0000,1000,0000,0000,3000,3000,5000,9000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1000,2400,6000,4700,4100,2800,2600,1600,4000,1900,1600,8000,579,616
B,1200,5500,3200,6300,29003,28029,28377,8665,8011,7876,5000,8000,579,616
C,1600,3900,8700,4400,18012,16966,17571,5565,5718,5701,4000,0000,579,616
D,5200,1800,2900,3100,6752,4920,4574,1625,1970,2443,6000,2800,579,616
E,1300,9000,2500,3700,2953,2199,2107,5530,5520,5720,1200,0000,579,616
F,3900,3000,2800,1100,2181,1552,1161,2480,3250,2970,3000,2600,579,616
G,1600,1700,0000,4000,7850,6900,6030,1820,1880,1800,1300,1900,579,616
H,0000,6400,0000,2400,2100,0000,3000,1700,2200,5000,8000,0000,579,616
