, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0859,0.0912,0.0863,0.0906,0.0872,0.0917,0.0879,0.0880,0.0940,0.0875,0.0849,0.0828,OD600:600
B,0.0878,0.5916,0.7589,0.7936,0.6779,0.7090,0.6877,0.7524,0.7410,0.7268,0.1051,0.0936,OD600:600
C,0.0931,0.5429,0.6547,0.8931,0.7438,0.7317,0.7098,0.8741,0.8460,0.8588,0.3288,0.0946,OD600:600
D,0.0926,0.3265,0.5985,0.6407,0.5086,0.5243,0.4878,0.6319,0.6509,0.6343,0.3784,0.0977,OD600:600
E,0.0928,0.1864,0.3885,0.4013,0.3931,0.4035,0.4383,0.3567,0.4164,0.3834,0.3368,0.0956,OD600:600
F,0.0995,0.1593,0.3710,0.4261,0.3166,0.3829,0.3447,0.3243,0.3815,0.4475,0.3344,0.2948,OD600:600
G,0.0963,0.1397,0.3724,0.3545,0.3412,0.3229,0.3103,0.3131,0.3097,0.3456,0.3413,0.2513,OD600:600
H,0.0869,0.2766,0.1454,0.1142,0.1028,0.1049,0.1095,0.1269,0.1091,0.1058,0.0945,0.0843,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0000,0000,0000,0000,0000,0000,1900,1400,0000,0000,8000,0000,479,520
B,8000,7350,8520,9150,3400,0000,1300,5820,6110,5530,2900,5000,479,520
C,2000,5140,5260,2380,0000,7000,4000,1490,1750,2150,6000,8000,479,520
D,0000,2640,2030,1000,0000,2000,5000,8000,7300,6700,5000,0000,479,520
E,0000,1630,6100,3200,0000,3000,4000,1600,5000,1700,1000,7000,479,520
F,0000,9600,2000,3900,0000,4000,2500,1800,3100,9000,0000,4000,479,520
G,6000,3200,2000,1600,1900,1200,0000,3000,5000,1200,0000,0000,479,520
H,5000,1200,1100,3000,0000,1000,1000,0000,0000,2000,7000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,6000,6000,7000,4800,1000,2200,1500,0000,1600,2500,2500,3000,579,616
B,1500,7400,7100,7700,12625,12594,12836,4806,4970,4982,1400,2700,579,616
C,0000,5800,6100,3600,2590,2890,2639,1051,1290,1628,8000,0000,579,616
D,1300,0000,0000,2400,9930,1011,1301,3320,4130,4700,2600,0000,579,616
E,1000,3500,8000,2100,3660,4600,4390,1920,1670,1300,0000,1000,579,616
F,1600,3300,1900,0000,2620,2810,3360,1250,1110,9000,0000,0000,579,616
G,2300,1500,0000,0000,1150,9900,1340,3900,8700,5200,2300,1300,579,616
H,9000,1800,8000,1100,0000,1800,1700,3000,8000,5200,1500,2200,579,616
