, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0391,0.0361,0.0365,0.0391,0.0366,0.0409,0.0366,0.0382,0.0380,0.0466,0.0371,0.0522,OD600:600
B,0.0384,0.7401,0.7310,0.7228,0.0649,0.0655,0.0647,0.4550,0.4533,0.4414,0.0389,0.0375,OD600:600
C,0.0418,0.6384,0.6363,0.6385,0.0494,0.0491,0.0509,0.4205,0.4238,0.4291,0.0378,0.0383,OD600:600
D,0.0374,0.3925,0.3801,0.3842,0.0463,0.0456,0.0452,0.3008,0.3000,0.2831,0.0374,0.0376,OD600:600
E,0.0394,0.2133,0.2103,0.2004,0.0430,0.0435,0.0440,0.1418,0.1355,0.1388,0.0381,0.0374,OD600:600
F,0.0370,0.1042,0.0966,0.0987,0.0459,0.0442,0.0445,0.0745,0.0762,0.0742,0.0466,0.0387,OD600:600
G,0.0385,0.0566,0.0659,0.0569,0.0450,0.0443,0.0440,0.0529,0.0524,0.0542,0.0387,0.0373,OD600:600
H,0.0366,0.0464,0.0385,0.0378,0.0360,0.0378,0.0358,0.0364,0.0372,0.0384,0.0385,0.0385,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,2300,1000,0000,1000,6000,1700,5000,0000,1800,6000,0000,0000,479,520
B,0000,1466,1475,1527,0000,9000,0000,1172,1170,1158,0000,2000,479,520
C,0000,1329,1359,1289,0000,0000,9000,1092,1075,1100,1000,1400,479,520
D,7000,7850,7300,7100,8000,2000,0000,6290,6120,5820,0000,1100,479,520
E,0000,3590,3500,3540,4000,2200,7000,2480,2390,2400,5000,0000,479,520
F,4300,1840,1710,1410,0000,1100,0000,9700,8500,1090,0000,1000,479,520
G,4000,4500,6000,5900,8000,1200,2000,5000,4300,4000,0000,1300,479,520
H,1000,2200,0000,0000,3000,0000,0000,0000,9000,0000,8000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0000,0000,0000,0000,0000,5000,3400,8000,2000,1900,0000,1500,579,616
B,8000,1000,2000,1100,8180,8510,8980,6100,6980,6860,3000,2700,579,616
C,1200,1300,2400,3100,3670,3880,3750,4630,4670,4510,9000,1100,579,616
D,4000,3100,1500,4900,2030,2050,2270,3730,4270,4190,0000,1000,579,616
E,0000,0000,1900,3600,2360,2420,2110,1660,1730,1930,1100,7000,579,616
F,5000,3500,1100,1900,2900,2570,1930,1240,1300,1770,9000,1300,579,616
G,2200,2600,1400,2900,3100,2300,1530,7300,8800,7400,2800,1100,579,616
H,2000,8000,3300,6000,1900,1700,9000,2400,9000,3300,3100,0000,579,616
