, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0858,0.0810,0.0813,0.0832,0.0803,0.0873,0.0823,0.0817,0.0835,0.0889,0.0855,0.0844,OD600:600
B,0.0933,1.0245,0.9807,0.9744,0.6915,0.6953,0.6836,1.0064,0.9938,1.0214,0.1031,0.1185,OD600:600
C,0.1028,0.8322,0.7959,0.7841,0.5489,0.5387,0.5210,0.8155,0.7988,0.8107,0.1011,0.0937,OD600:600
D,0.0923,0.5692,0.5694,0.5789,0.2963,0.2983,0.2865,0.5713,0.5765,0.5543,0.1028,0.0959,OD600:600
E,0.0972,0.3386,0.3652,0.3739,0.1779,0.1806,0.1775,0.3744,0.3495,0.3334,0.1097,0.0919,OD600:600
F,0.0965,0.2524,0.1985,0.2312,0.1415,0.1385,0.1492,0.2105,0.2402,0.2363,0.1178,0.0946,OD600:600
G,0.0974,0.1317,0.1377,0.1257,0.1157,0.1143,0.1128,0.1226,0.1225,0.1198,0.1036,0.0922,OD600:600
H,0.0821,0.1130,0.0882,0.0952,0.0981,0.0958,0.0973,0.0878,0.0847,0.0845,0.0814,0.0835,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1200,9000,1400,0000,3000,0000,0000,2100,1300,1200,8000,6000,479,520
B,2100,1572,1445,1500,2200,2100,3000,1261,1261,1234,2100,0000,479,520
C,6000,1293,1171,1094,2000,1500,0000,9080,9340,9660,2000,9000,479,520
D,1100,8460,7270,6880,6000,1900,1000,5780,5930,5480,0000,0000,479,520
E,5000,4200,4100,3940,9000,1100,1000,2840,2300,1980,0000,6000,479,520
F,0000,2460,1720,1550,2400,9000,0000,1050,1610,1500,2000,0000,479,520
G,4000,8100,7100,7500,1600,1000,5000,5600,5000,6000,6000,1800,479,520
H,0000,3500,1500,2000,3000,0000,2000,0000,0000,1500,3000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1200,9000,1200,2100,1000,2000,2400,0000,2100,1100,5000,0000,579,616
B,2500,8800,1090,7900,17178,17185,16677,3048,3488,3104,3700,1000,579,616
C,0000,4400,9700,1070,12007,11574,11688,1924,2133,2203,1000,3500,579,616
D,4000,3900,5000,2900,5885,6103,5858,9120,1004,8940,4100,0000,579,616
E,2300,0000,2000,7000,2537,2351,2193,3560,3450,2820,2000,4600,579,616
F,2600,3800,6000,1100,1125,1038,1278,2360,2060,3160,8000,5000,579,616
G,0000,1100,4100,9000,5830,6190,6460,1180,1570,2040,7000,1000,579,616
H,2300,2600,1000,1300,3000,2800,1000,3600,5100,8000,9000,2700,579,616
