, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0860,0.0825,0.0828,0.0860,0.0832,0.0896,0.0866,0.0876,0.0886,0.0894,0.0900,0.0872,OD600:600
B,0.0987,1.0098,0.9814,0.9810,0.6948,0.6999,0.6927,1.0072,0.9971,1.0196,0.1118,0.1104,OD600:600
C,0.1026,0.8260,0.7927,0.7740,0.5235,0.5216,0.5096,0.8033,0.7974,0.8059,0.1008,0.0914,OD600:600
D,0.0942,0.5736,0.5552,0.5609,0.2888,0.2949,0.2859,0.5654,0.5671,0.5387,0.1015,0.0923,OD600:600
E,0.1003,0.3620,0.3605,0.3567,0.1647,0.1711,0.1743,0.3739,0.3551,0.3342,0.1018,0.0888,OD600:600
F,0.0991,0.2575,0.2144,0.1895,0.1239,0.1242,0.1301,0.1963,0.2143,0.2175,0.1053,0.0938,OD600:600
G,0.0985,0.1258,0.1393,0.1245,0.1135,0.1121,0.1117,0.1214,0.1210,0.1180,0.1048,0.0898,OD600:600
H,0.0819,0.1146,0.0936,0.0975,0.0998,0.1008,0.0997,0.0936,0.0889,0.0874,0.0829,0.0829,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1000,2000,3700,0000,1800,9000,0000,0000,0000,3000,0000,9000,479,520
B,2400,1650,1547,1595,0000,1500,0000,1310,1339,1390,0000,5000,479,520
C,4000,1331,1296,1127,8000,1300,2000,9130,9540,1002,1100,3000,479,520
D,0000,9500,7920,7060,6000,9000,2100,5580,5650,5800,1700,1000,479,520
E,0000,5540,4960,4080,1700,2600,0000,2680,2330,2340,8000,6000,479,520
F,6000,2530,1590,1950,0000,0000,0000,1700,1650,1710,1500,1000,479,520
G,0000,4400,3000,5400,4000,9000,7000,3500,4800,3900,1100,7000,479,520
H,0000,4000,2200,0000,4500,1000,0000,0000,2000,0000,0000,2000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1600,4000,3100,1900,9000,1500,0000,3100,4300,1500,1500,2800,579,616
B,0000,6900,1170,8700,16864,15186,15593,2619,2914,2967,2000,1900,579,616
C,2600,6100,3200,3100,12005,10968,11410,1605,1787,1871,2100,2800,579,616
D,2500,2100,1800,3300,5484,5654,5527,8460,7870,7690,1500,1000,579,616
E,3500,2300,1600,4600,2353,2307,2022,3690,3300,3760,1100,8000,579,616
F,0000,1200,1200,3000,9900,1002,9960,1540,1880,1800,0000,0000,579,616
G,6000,8000,3200,5000,4850,4390,4420,8800,1180,1480,2000,1800,579,616
H,1700,1900,4100,3700,7000,2800,1300,4000,1000,1600,1000,9000,579,616
