, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0879,0.0994,0.0973,0.0983,0.0981,0.1021,0.1028,0.1018,0.1070,0.0874,0.1015,0.0910,OD600:600
B,0.0975,0.5859,0.7429,0.7894,0.6253,0.6749,0.6506,0.7672,0.7373,0.6603,0.1139,0.1069,OD600:600
C,0.1022,0.4485,0.6453,0.9311,0.6776,0.6597,0.6347,0.9071,0.8899,0.8887,0.3288,0.1074,OD600:600
D,0.1005,0.2894,0.5759,0.5595,0.3661,0.3828,0.3694,0.4429,0.6134,0.5231,0.3398,0.1103,OD600:600
E,0.1143,0.2007,0.4017,0.3527,0.3516,0.2875,0.3057,0.3403,0.3753,0.3760,0.2950,0.1099,OD600:600
F,0.1074,0.1691,0.3489,0.3175,0.2775,0.2877,0.3206,0.2785,0.3246,0.3255,0.2854,0.3197,OD600:600
G,0.1048,0.1677,0.3474,0.3700,0.2560,0.2979,0.2502,0.2940,0.2707,0.3071,0.3157,0.2088,OD600:600
H,0.0948,0.3141,0.1526,0.1196,0.1118,0.1120,0.1191,0.1308,0.1177,0.1197,0.1075,0.0851,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1000,9000,3000,3000,4000,0000,0000,0000,7000,1000,5000,1500,479,520
B,0000,8200,8900,9920,8000,9000,1300,6070,6350,5440,0000,4000,479,520
C,0000,5580,5250,2970,2000,1200,1700,1730,1920,2160,2200,0000,479,520
D,0000,3690,2080,1270,0000,1100,1600,1050,7400,8600,0000,1000,479,520
E,6000,2060,9800,7400,0000,8000,0000,2700,2900,4000,4000,2000,479,520
F,8000,1540,5800,4600,1600,1100,0000,2800,2800,1300,0000,6000,479,520
G,0000,8900,2800,1900,7000,1600,6000,1200,9000,1400,8000,5000,479,520
H,1400,2000,9000,0000,1000,6000,3600,0000,8000,0000,0000,4000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,2300,3000,3000,0000,2600,9000,1200,3100,5500,3000,1200,3900,579,616
B,2900,3700,7300,9800,11917,11493,11976,5204,5075,4321,2100,3800,579,616
C,0000,3400,2700,2100,3213,3040,3026,1249,1329,1439,0000,2500,579,616
D,0000,5200,3200,1000,1549,1749,1849,7800,5730,6150,0000,1100,579,616
E,1400,2700,0000,1800,7690,7810,7280,2010,1950,2190,0000,3900,579,616
F,2000,4000,8000,2000,3840,3710,3590,2080,1590,1510,1800,0000,579,616
G,3000,0000,9000,0000,1960,1580,1490,8800,1470,1890,3000,2700,579,616
H,0000,1400,4000,1100,3200,2500,1700,1900,2100,4700,6000,3000,579,616
