, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0884,0.0923,0.0918,0.0958,0.0946,0.0992,0.0982,0.0973,0.1032,0.0875,0.0943,0.0831,OD600:600
B,0.0932,0.7245,0.7526,0.7884,0.6004,0.6641,0.6015,0.6577,0.6632,0.6820,0.1103,0.1030,OD600:600
C,0.1001,0.6127,0.6443,0.7078,0.4900,0.4954,0.4749,0.5972,0.5728,0.5841,0.1466,0.1031,OD600:600
D,0.0967,0.3846,0.4396,0.5215,0.3596,0.3663,0.3575,0.4431,0.4527,0.4241,0.1779,0.1056,OD600:600
E,0.0966,0.1923,0.2362,0.2990,0.2462,0.2695,0.2622,0.3122,0.3436,0.3120,0.1886,0.1055,OD600:600
F,0.1063,0.1690,0.2347,0.2520,0.2242,0.2401,0.2384,0.2819,0.2709,0.2637,0.1986,0.1448,OD600:600
G,0.1020,0.1423,0.2062,0.1880,0.1931,0.1997,0.1980,0.2003,0.1837,0.1833,0.1516,0.1333,OD600:600
H,0.0859,0.2777,0.1458,0.1110,0.1160,0.1104,0.1157,0.1261,0.1164,0.1152,0.0992,0.0836,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0000,1000,0000,5000,8000,1200,1100,1000,8000,1000,0000,1500,479,520
B,3400,8280,8120,8600,8000,0000,0000,5010,5300,5130,0000,4000,479,520
C,0000,6190,6020,5560,4000,1700,0000,3060,3340,3410,0000,2000,479,520
D,1200,3570,3120,2200,0000,0000,1000,1300,1360,1410,6000,0000,479,520
E,1000,1480,1180,7500,5000,5000,3000,6300,7400,5600,0000,3000,479,520
F,0000,8900,4900,3800,2100,0000,0000,3200,4900,3200,1800,0000,479,520
G,0000,3100,5200,1300,1300,0000,0000,2200,2100,2400,8000,8000,479,520
H,3700,1800,1800,4000,1000,0000,0000,2300,1200,4000,3000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,2400,0000,2800,8000,1200,4600,3500,2000,2300,0000,0000,1100,579,616
B,1000,1000,2200,0000,8346,8811,8371,3413,3483,3477,2000,7000,579,616
C,1000,9000,0000,1100,4930,5002,4889,1805,1818,1888,1500,0000,579,616
D,2200,2300,2700,1000,2244,2025,2172,7020,8980,7310,9000,2200,579,616
E,1300,2000,2600,8000,9100,9530,8620,2250,2090,2870,4000,2000,579,616
F,0000,0000,0000,4000,4440,3460,4650,1440,1840,2230,1400,1600,579,616
G,9000,2300,1400,1000,1900,2540,2550,1370,1220,1210,2300,2400,579,616
H,1300,2300,1700,3000,4000,0000,3900,4000,3100,1800,8000,7000,579,616
