, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0832,0.0842,0.0821,0.0886,0.0827,0.0880,0.0871,0.0834,0.0855,0.0891,0.0867,0.0823,OD600:600
B,0.0998,1.0170,1.0057,1.0048,0.5887,0.5960,0.5890,0.9509,0.9481,0.9378,0.1067,0.1230,OD600:600
C,0.1070,0.8096,0.8002,0.7932,0.4561,0.4544,0.4540,0.7448,0.7395,0.7301,0.1014,0.0940,OD600:600
D,0.0966,0.5421,0.5262,0.5379,0.2674,0.2668,0.2661,0.4597,0.4659,0.4355,0.1008,0.0958,OD600:600
E,0.1013,0.3434,0.3353,0.3291,0.1623,0.1617,0.1604,0.2671,0.2399,0.2446,0.1003,0.0917,OD600:600
F,0.1012,0.1938,0.1837,0.1783,0.1233,0.1226,0.1271,0.1609,0.1614,0.1635,0.1061,0.0948,OD600:600
G,0.1002,0.1281,0.1410,0.1254,0.1135,0.1119,0.1110,0.1206,0.1200,0.1168,0.1027,0.0895,OD600:600
H,0.0808,0.1172,0.0949,0.0965,0.1001,0.1015,0.1017,0.0911,0.0885,0.0842,0.0836,0.0837,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1000,0000,3000,1800,1400,0000,0000,5000,6000,0000,1000,1000,479,520
B,2000,1238,1207,1187,1600,1100,6000,9840,1007,9980,0000,6000,479,520
C,0000,9580,9510,9680,2600,0000,8000,7380,7480,7350,1100,0000,479,520
D,6000,6410,6000,5870,7000,6000,1000,4240,4430,3840,0000,0000,479,520
E,2800,3300,3210,3470,9000,2300,1800,1720,1810,1800,0000,0000,479,520
F,2100,1530,1140,1430,0000,0000,0000,8600,1160,9200,8000,0000,479,520
G,0000,5300,5400,5100,1200,5000,0000,1700,3800,3600,9000,0000,479,520
H,2700,6000,1600,0000,0000,1300,1000,0000,4000,0000,9000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1500,0000,3100,7000,1200,0000,1500,7000,3100,9000,1600,2900,579,616
B,0000,2900,1800,1400,6190,5679,6099,1475,1493,1532,0000,1700,579,616
C,1100,0000,3200,1400,4830,5133,5013,9400,9220,9830,1500,2500,579,616
D,4000,1600,4400,0000,3504,3479,3475,4710,4920,5810,0000,3000,579,616
E,1800,1200,0000,1300,1690,1547,1546,2280,2340,2040,3500,0000,579,616
F,6000,0000,1000,7000,6030,7370,5350,1170,1200,1330,2700,1300,579,616
G,1700,0000,3000,0000,2930,3960,2680,3300,8000,1250,2000,5000,579,616
H,1000,1500,2000,0000,0000,3300,1000,0000,2600,1600,1500,7000,579,616
