, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0861,0.0995,0.0957,0.1012,0.0963,0.1020,0.1014,0.0985,0.1038,0.0870,0.0961,0.0826,OD600:600
B,0.0979,0.6979,0.7729,0.8065,0.6373,0.6840,0.6599,0.7426,0.7221,0.7206,0.1141,0.1076,OD600:600
C,0.1016,0.6126,0.6949,0.8997,0.6875,0.6943,0.6476,0.7974,0.7905,0.7807,0.3010,0.1079,OD600:600
D,0.0994,0.3793,0.5754,0.6520,0.4912,0.5048,0.5038,0.5898,0.6150,0.5776,0.3374,0.1120,OD600:600
E,0.1019,0.1958,0.3846,0.4106,0.3859,0.4035,0.3909,0.3885,0.4446,0.3951,0.3264,0.1461,OD600:600
F,0.1067,0.1761,0.3954,0.4087,0.3707,0.3814,0.3506,0.3693,0.4299,0.3962,0.3417,0.3269,OD600:600
G,0.1078,0.1387,0.3529,0.3494,0.3536,0.3363,0.3389,0.3492,0.3505,0.3705,0.3352,0.3008,OD600:600
H,0.0963,0.2413,0.1394,0.1190,0.1108,0.1136,0.1188,0.1255,0.1198,0.1195,0.1084,0.0873,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,2700,9000,0000,0000,5000,1100,9000,0000,0000,0000,1600,0000,479,520
B,0000,7630,8590,7980,1000,1000,7000,4590,4950,4830,8000,6000,479,520
C,0000,5680,4780,2480,2000,1100,1000,1460,1420,1850,0000,2000,479,520
D,0000,3210,1590,1010,0000,0000,3000,6900,6300,6600,0000,3000,479,520
E,1300,1280,8900,4100,3000,1500,0000,1300,2600,3000,3000,0000,479,520
F,4000,8400,2800,2600,0000,0000,1000,2000,1900,1100,4000,0000,479,520
G,0000,2400,0000,1100,2000,4000,1000,1100,1800,2000,1000,7000,479,520
H,1100,3200,8000,0000,0000,0000,1600,7000,0000,7000,6000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0000,1700,2500,1200,1600,2300,1300,0000,3800,8000,5000,2700,579,616
B,0000,3700,2000,2500,9198,9369,8966,3497,3746,3803,1000,9000,579,616
C,1800,8000,2500,1100,2645,2134,2481,9280,8840,1164,0000,0000,579,616
D,1400,6000,1300,0000,1109,9400,9410,4220,2880,4110,3200,1000,579,616
E,4000,0000,7000,1700,4650,5220,4280,8400,1480,1410,1700,6000,579,616
F,0000,1100,0000,2000,1700,2100,2010,1160,1330,1010,1700,1900,579,616
G,9000,0000,1300,1300,1310,1190,1880,7800,6700,1150,1400,5000,579,616
H,2200,2500,2300,1100,3000,1300,2700,2000,3300,8800,1300,0000,579,616
