, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0875,0.0825,0.0853,0.0874,0.0847,0.0964,0.0877,0.0881,0.0895,0.0890,0.0921,0.0857,OD600:600
B,0.1042,1.0045,0.9818,0.9822,0.6594,0.6681,0.6615,0.9961,0.9881,0.9996,0.1059,0.1162,OD600:600
C,0.1030,0.8093,0.7885,0.7762,0.4875,0.4883,0.4821,0.7864,0.7813,0.7893,0.1021,0.0961,OD600:600
D,0.0986,0.5578,0.5405,0.5450,0.2816,0.2815,0.2775,0.5311,0.5386,0.5218,0.1017,0.0976,OD600:600
E,0.1030,0.3570,0.3499,0.3457,0.1675,0.1679,0.1666,0.3335,0.3111,0.3048,0.1025,0.0937,OD600:600
F,0.1014,0.2431,0.2171,0.1931,0.1249,0.1237,0.1279,0.1896,0.1930,0.1888,0.1008,0.0964,OD600:600
G,0.1018,0.1288,0.1377,0.1252,0.1146,0.1127,0.1113,0.1211,0.1220,0.1174,0.1047,0.0930,OD600:600
H,0.0815,0.1196,0.0972,0.0998,0.1019,0.1022,0.1046,0.0959,0.0880,0.0868,0.0814,0.0840,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,2200,9000,0000,0000,2000,0000,0000,3000,0000,3000,0000,1500,479,520
B,2500,1269,1214,1206,0000,1000,5000,1010,1043,1048,7000,1800,479,520
C,2000,9580,9410,9590,1100,1500,4000,7930,8170,8310,1000,0000,479,520
D,2600,6680,5920,6310,4000,2600,6000,5640,5470,4990,4000,2000,479,520
E,9000,3380,3780,3590,8000,0000,8000,2400,2070,2150,4000,6000,479,520
F,7000,1780,1300,1300,0000,9000,0000,1010,1000,1070,0000,6000,479,520
G,0000,3600,5500,2100,0000,0000,1000,2900,2600,2500,2400,2300,479,520
H,1100,0000,2300,2800,4000,0000,2000,0000,5000,1700,0000,7000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,2400,0000,0000,4000,3900,2300,3300,1300,0000,1600,0000,1900,579,616
B,3000,1000,4000,1400,14030,14027,13637,2231,2258,2178,1700,0000,579,616
C,0000,1600,2000,1000,10689,9502,9669,1501,1539,1634,2300,1300,579,616
D,2400,7000,0000,1600,5088,5261,5098,7550,8890,7620,3100,9000,579,616
E,1700,0000,3000,7000,2146,2316,2154,2780,3180,2880,3300,1200,579,616
F,0000,1300,1900,9000,8200,8600,1008,1660,2220,1970,1800,2100,579,616
G,1800,0000,1900,3900,4410,4160,4180,1040,1050,1310,2500,2800,579,616
H,3800,4000,2600,5000,0000,2100,3500,1400,7000,0000,1900,2000,579,616
