, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0835,0.0820,0.0819,0.0857,0.0824,0.0886,0.0858,0.0840,0.0869,0.0889,0.0890,0.0947,OD600:600
B,0.0963,1.0254,1.0098,1.0098,0.6269,0.6345,0.6271,0.9987,0.9936,0.9978,0.1043,0.1165,OD600:600
C,0.0982,0.8235,0.8069,0.7978,0.4602,0.4608,0.4575,0.7895,0.7800,0.7858,0.1013,0.0960,OD600:600
D,0.0942,0.5603,0.5441,0.5496,0.2694,0.2692,0.2677,0.5181,0.5225,0.5024,0.1010,0.0971,OD600:600
E,0.1000,0.3516,0.3449,0.3385,0.1628,0.1630,0.1621,0.3118,0.2821,0.2768,0.1019,0.0920,OD600:600
F,0.1003,0.2280,0.1955,0.1780,0.1228,0.1221,0.1261,0.1727,0.1784,0.1746,0.1089,0.0948,OD600:600
G,0.1005,0.1272,0.1446,0.1240,0.1134,0.1125,0.1111,0.1208,0.1195,0.1173,0.1038,0.0901,OD600:600
H,0.0825,0.1168,0.0902,0.0948,0.1019,0.1014,0.1031,0.0904,0.0867,0.0849,0.0818,0.0844,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1300,8000,2600,0000,1000,1700,1900,0000,1200,3000,2000,1000,479,520
B,0000,1265,1246,1231,1800,9000,8000,1012,1051,9990,0000,3000,479,520
C,0000,1015,9760,9570,9000,8000,0000,7750,7790,7740,0000,0000,479,520
D,0000,6390,6100,6040,1400,7000,0000,5240,5010,4370,2000,1100,479,520
E,5000,3820,3530,3190,1400,9000,3000,2220,1860,1870,0000,0000,479,520
F,0000,1380,9100,1270,1000,3000,3000,8400,8700,9800,1000,0000,479,520
G,0000,6500,3900,3500,0000,0000,1700,4100,4100,3100,0000,0000,479,520
H,1400,0000,5000,9000,0000,6000,2000,8000,3000,0000,0000,6000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1500,0000,5600,0000,3000,4700,1000,1800,2800,1500,1200,3200,579,616
B,0000,4700,4300,3300,12265,11974,11711,1990,2001,2083,1400,0000,579,616
C,1600,8000,3900,0000,8668,8258,8392,1306,1356,1355,1300,2700,579,616
D,4600,7000,2900,1000,4542,4505,4824,6590,6530,5240,2700,1000,579,616
E,4000,5000,1800,0000,1973,2042,1824,2930,2930,2510,2900,1600,579,616
F,2000,2600,0000,0000,7600,8430,7300,1420,1490,2200,1900,1500,579,616
G,1500,3000,2600,1200,4720,4300,3280,9400,1520,7500,9000,2000,579,616
H,1000,2700,4600,5000,2000,0000,0000,2600,8000,1200,2000,1100,579,616
