, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0838,0.0834,0.0837,0.0871,0.0846,0.0938,0.0900,0.0863,0.0878,0.0894,0.0936,0.0824,OD600:600
B,0.1043,1.0259,1.0078,1.0071,0.6287,0.6401,0.6327,1.0024,0.9975,0.9994,0.1153,0.1255,OD600:600
C,0.1048,0.8255,0.8068,0.7972,0.4644,0.4648,0.4609,0.7922,0.7859,0.7897,0.1022,0.0982,OD600:600
D,0.0989,0.5654,0.5483,0.5518,0.2737,0.2731,0.2719,0.5223,0.5275,0.5051,0.1021,0.0999,OD600:600
E,0.1046,0.3566,0.3491,0.3440,0.1661,0.1663,0.1645,0.3186,0.2893,0.2867,0.1037,0.0967,OD600:600
F,0.1026,0.2340,0.2012,0.1873,0.1250,0.1248,0.1289,0.1793,0.1836,0.1803,0.1045,0.0999,OD600:600
G,0.1035,0.1290,0.1440,0.1265,0.1157,0.1136,0.1134,0.1235,0.1244,0.1195,0.1065,0.0991,OD600:600
H,0.0814,0.1244,0.1019,0.1021,0.1007,0.1041,0.1063,0.0951,0.0939,0.0923,0.0843,0.0839,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,8000,3000,1400,4000,1200,0000,3000,8000,1100,0000,0000,4000,479,520
B,0000,1220,1231,1193,3200,9000,7000,9890,1038,1004,8000,3000,479,520
C,0000,9360,9750,9570,2100,1800,0000,7980,7760,8110,0000,2000,479,520
D,5000,6200,5870,5890,0000,0000,7000,4970,5060,4440,2000,0000,479,520
E,4000,3150,3400,3080,0000,5000,3000,2150,2060,1830,0000,1000,479,520
F,3000,1420,1080,1230,3000,1100,9000,9800,9200,1070,1000,5000,479,520
G,0000,3500,4900,3400,0000,2300,0000,3600,4700,3300,0000,7000,479,520
H,2400,0000,2000,2500,5000,2000,2000,0000,1000,0000,4000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,3000,0000,3000,9000,3000,1200,4000,1000,2000,0000,2200,3400,579,616
B,3200,5900,2000,3300,11956,11516,11797,2047,1886,2015,0000,0000,579,616
C,0000,3200,9000,2100,8448,8933,8433,1260,1228,1218,0000,0000,579,616
D,1300,2000,1600,2400,4225,4955,4434,6440,6790,6420,1100,2900,579,616
E,1700,0000,1000,9000,2107,1923,1876,3080,3240,2950,2500,2500,579,616
F,1700,1300,0000,2800,8520,9060,9190,1220,1370,1720,1100,1200,579,616
G,2700,0000,2800,0000,3640,4850,3300,1520,1400,1280,4900,0000,579,616
H,5000,3100,1900,2100,0000,4000,2600,1000,1800,1100,3700,1300,579,616
