, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0853,0.0864,0.0862,0.0897,0.0859,0.0945,0.0902,0.0884,0.0900,0.0885,0.0926,0.0923,OD600:600
B,0.1011,1.0177,1.0060,1.0057,0.6269,0.6312,0.6231,0.9721,0.9725,0.9662,0.1059,0.1224,OD600:600
C,0.1087,0.8114,0.7990,0.7928,0.4498,0.4524,0.4485,0.7633,0.7556,0.7554,0.1019,0.0964,OD600:600
D,0.0991,0.5428,0.5269,0.5374,0.2687,0.2683,0.2667,0.4810,0.4872,0.4606,0.1022,0.0971,OD600:600
E,0.1046,0.3473,0.3395,0.3322,0.1648,0.1635,0.1623,0.2818,0.2538,0.2544,0.1022,0.0912,OD600:600
F,0.1035,0.2075,0.1830,0.1773,0.1244,0.1241,0.1277,0.1630,0.1674,0.1688,0.1030,0.0940,OD600:600
G,0.1037,0.1294,0.1457,0.1258,0.1159,0.1133,0.1124,0.1213,0.1201,0.1172,0.1036,0.0919,OD600:600
H,0.0811,0.1180,0.0928,0.0983,0.1014,0.1017,0.1042,0.0919,0.0849,0.0903,0.0818,0.0844,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1200,0000,1000,4000,0000,0000,1800,0000,1900,1000,6000,0000,479,520
B,0000,1218,1181,1200,2100,7000,5000,9590,1006,9610,1000,5000,479,520
C,1000,9360,9320,9580,1000,1500,1200,7370,7370,7520,2000,1600,479,520
D,0000,6460,5900,5960,7000,5000,8000,4490,4600,4230,4000,0000,479,520
E,1400,3000,3160,3020,1200,2000,4000,1970,1780,1640,5000,0000,479,520
F,4100,1390,7700,1200,3000,7000,6000,7500,1080,9700,7000,0000,479,520
G,0000,5400,7600,3800,0000,1000,2000,4700,3900,3100,2000,1000,479,520
H,2000,0000,3000,6000,3000,3000,2000,1000,1000,0000,0000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,2100,2500,9000,1900,2000,6000,0000,4000,3000,2100,6000,4000,579,616
B,6000,2400,1500,5000,9133,9442,9154,1599,1689,1880,1600,2000,579,616
C,1300,0000,0000,1600,7180,6754,6939,1095,1046,1103,2000,1000,579,616
D,1300,2700,0000,2000,3988,3698,3636,5280,5630,5740,2000,2000,579,616
E,2700,8000,1000,3900,1694,1776,1760,2670,2430,2620,2000,2400,579,616
F,0000,1700,0000,0000,7380,8100,6650,1530,1240,1390,3200,1900,579,616
G,2400,4700,1200,9000,3930,4270,3220,1150,1390,7100,1500,5000,579,616
H,3500,0000,8000,1700,0000,5600,1000,2200,0000,1000,2400,1500,579,616
