, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0406,0.0356,0.0370,0.0401,0.0364,0.0403,0.0369,0.0382,0.0381,0.0467,0.0367,0.0381,OD600:600
B,0.0411,0.8862,0.8877,0.8842,0.0887,0.0889,0.0890,0.6679,0.6505,0.6737,0.0389,0.0386,OD600:600
C,0.0519,0.6762,0.6718,0.6704,0.0608,0.0597,0.0625,0.5421,0.5424,0.5407,0.0395,0.0407,OD600:600
D,0.0376,0.4219,0.4027,0.4092,0.0495,0.0492,0.0490,0.3149,0.3150,0.2922,0.0375,0.0398,OD600:600
E,0.0390,0.2244,0.2225,0.2137,0.0453,0.0458,0.0459,0.1543,0.1417,0.1456,0.0384,0.0376,OD600:600
F,0.0370,0.1068,0.0962,0.0994,0.0469,0.0456,0.0461,0.0752,0.0766,0.0741,0.0431,0.0391,OD600:600
G,0.0383,0.0566,0.0691,0.0573,0.0445,0.0440,0.0439,0.0533,0.0524,0.0538,0.0388,0.0375,OD600:600
H,0.0367,0.0463,0.0386,0.0380,0.0373,0.0377,0.0357,0.0365,0.0373,0.0381,0.0383,0.0387,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1700,1600,3000,1800,7000,0000,0000,0000,1400,9000,0000,1500,479,520
B,1000,1996,1989,1965,0000,1400,0000,1417,1386,1387,0000,0000,479,520
C,0000,1349,1346,1379,7000,0000,4000,1137,1161,1141,1600,1100,479,520
D,2000,8160,7600,7600,1200,0000,1000,5950,6130,5810,0000,1000,479,520
E,4000,3850,3550,3450,8000,1700,0000,2420,2310,2400,1100,7000,479,520
F,1900,1690,1520,1620,1300,0000,9000,1150,1030,1100,2000,0000,479,520
G,3000,4700,6600,6200,1600,0000,1800,4800,5400,5000,0000,0000,479,520
H,0000,1600,1900,0000,0000,1000,0000,0000,1100,1300,2000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,2100,1400,0000,1500,2700,1700,0000,0000,2600,9000,1000,1800,579,616
B,8000,2000,0000,2700,1538,1592,1437,7340,7900,8110,0000,2200,579,616
C,3200,0000,7000,1900,7020,8360,7240,7210,5690,7470,0000,1800,579,616
D,1600,0000,3300,1800,3480,3510,2890,4120,4140,5460,1500,1800,579,616
E,3000,4300,2400,0000,3240,3030,2180,2160,2210,2400,2500,1700,579,616
F,3100,5000,1500,1600,3240,3170,2840,1300,1280,1480,1800,1300,579,616
G,2300,4500,0000,1600,3800,4010,2520,1110,1090,1620,2700,1000,579,616
H,9000,0000,2300,2400,0000,2500,1200,2500,9000,8000,7000,0000,579,616
