, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0840,0.0853,0.0856,0.0906,0.0844,0.0946,0.0903,0.0882,0.0913,0.0888,0.0933,0.0849,OD600:600
B,0.1017,1.0201,1.0043,1.0050,0.6358,0.6394,0.6300,0.9875,0.9851,0.9851,0.1142,0.1188,OD600:600
C,0.1007,0.8178,0.8062,0.8066,0.4714,0.4781,0.4694,0.7928,0.7737,0.7770,0.1029,0.1006,OD600:600
D,0.0965,0.5544,0.5507,0.5649,0.2815,0.2810,0.2770,0.5177,0.5228,0.4945,0.1050,0.1014,OD600:600
E,0.1019,0.3524,0.3520,0.3513,0.1759,0.1755,0.1743,0.3110,0.2837,0.2823,0.1109,0.0953,OD600:600
F,0.1004,0.2221,0.2022,0.1868,0.1354,0.1337,0.1391,0.1773,0.1793,0.1813,0.1068,0.0981,OD600:600
G,0.1015,0.1298,0.1448,0.1266,0.1163,0.1134,0.1124,0.1222,0.1209,0.1185,0.1052,0.0940,OD600:600
H,0.0809,0.1206,0.0935,0.0992,0.1010,0.1029,0.1053,0.0914,0.0870,0.1179,0.0815,0.0840,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0000,2000,0000,1000,1000,0000,3000,0000,2400,1400,1900,4000,479,520
B,1400,1251,1200,1204,6000,1800,1100,9520,1036,1014,1000,0000,479,520
C,0000,9290,9630,9260,4000,7000,0000,7300,7350,7730,5000,0000,479,520
D,8000,6350,5450,5470,0000,0000,3000,4670,4570,4000,3000,3000,479,520
E,2000,3430,3370,3310,4000,1000,0000,1910,1730,1660,0000,3000,479,520
F,1000,1630,1190,1170,1100,5000,0000,9000,1110,9700,1800,2000,479,520
G,0000,4500,4500,3800,1500,9000,1300,2700,3400,5100,0000,7000,479,520
H,0000,6000,1200,7000,7000,0000,5000,6000,4000,3000,1500,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,6000,1200,4000,7000,0000,0000,2400,7000,1200,1400,2200,1000,579,616
B,1100,1300,1500,2600,11459,11189,11068,1886,1874,1881,0000,9000,579,616
C,1700,3200,2700,3200,7876,7157,7662,1006,1071,1192,1400,3500,579,616
D,2000,3200,0000,1800,4065,3968,4271,5510,6350,5410,2700,7000,579,616
E,0000,4900,1200,6000,1860,1870,1695,1740,2940,2530,2100,2500,579,616
F,2000,1100,3500,0000,7440,7710,8080,2170,1510,1480,9000,1900,579,616
G,5000,1200,2500,1400,4290,4270,3160,1100,1140,1210,0000,1100,579,616
H,3000,2600,2400,1700,2800,1600,2100,3200,0000,2100,2000,1300,579,616
