, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.1023,0.1205,0.0823,0.0875,0.0813,0.0876,0.0910,0.0935,0.0942,0.1052,0.0857,0.0818,OD600:600
B,0.0851,0.9655,1.2106,1.2791,1.0761,1.0714,1.0595,1.2692,1.2258,1.2266,0.1003,0.0886,OD600:600
C,0.0905,0.8819,0.9194,0.9761,0.7863,0.7933,0.7859,0.9715,0.9616,0.9821,0.1010,0.0927,OD600:600
D,0.0884,0.4328,0.4328,0.6758,0.5612,0.5613,0.6181,0.7484,0.7497,0.6641,0.1243,0.0931,OD600:600
E,0.0846,0.2724,0.2746,0.2985,0.4171,0.4562,0.4635,0.4825,0.4938,0.4925,0.2850,0.0955,OD600:600
F,0.0888,0.2104,0.2235,0.3413,0.3456,0.3940,0.3854,0.4370,0.4178,0.4436,0.3269,0.0986,OD600:600
G,0.0950,0.1454,0.1382,0.1421,0.1330,0.1486,0.1492,0.1742,0.1460,0.1432,0.1035,0.0991,OD600:600
H,0.0823,0.1339,0.1314,0.0979,0.0989,0.0986,0.1020,0.0943,0.0975,0.0945,0.0848,0.0850,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,8000,1600,1700,0000,0000,0000,3000,0000,0000,0000,1900,5000,479,520
B,4000,2558,2574,2851,0000,0000,5000,2019,1993,1930,3000,3000,479,520
C,0000,1930,1892,1913,5000,8000,1100,1260,1311,1281,8000,1200,479,520
D,1300,1071,1016,1004,2100,0000,1400,2780,4310,4710,2000,0000,479,520
E,2800,5750,5460,4370,4000,1900,1800,8500,8800,1060,1300,0000,479,520
F,9000,4000,3830,3090,0000,1400,0000,6200,5100,6200,1000,0000,479,520
G,0000,1130,1220,1440,1100,3000,0000,5200,5800,8100,0000,1100,479,520
H,0000,1240,1110,6000,0000,1800,9000,0000,1000,0000,1000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1400,3600,2200,6000,2800,0000,0000,3100,1300,2600,1100,1900,579,616
B,1100,7000,1220,6500,28747,28192,28565,8484,8455,8350,3000,1400,579,616
C,1200,5100,3700,7300,20422,18666,19292,6115,6399,6226,0000,1100,579,616
D,0000,6300,5800,1700,6254,4491,4010,1435,2023,2328,1700,2100,579,616
E,7000,7000,2900,2400,2746,2106,1814,5340,5800,5960,1300,3700,579,616
F,5000,1600,3500,5400,2136,1422,9460,2580,3380,3500,6000,2100,579,616
G,3300,1900,2300,0000,9450,8950,8100,1240,2810,2660,2500,2700,579,616
H,6600,3200,1700,1400,2300,8000,0000,1200,3700,9000,5000,0000,579,616
