, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0379,0.0356,0.0363,0.0392,0.0367,0.0389,0.0368,0.0384,0.0381,0.0466,0.0372,0.0380,OD600:600
B,0.0418,0.2151,0.1970,0.1972,0.0420,0.0415,0.0420,0.1281,0.1227,0.1234,0.0396,0.0489,OD600:600
C,0.0411,0.1957,0.1832,0.1778,0.0418,0.0417,0.0434,0.0991,0.0952,0.0993,0.0431,0.0419,OD600:600
D,0.0376,0.1685,0.1525,0.1403,0.0423,0.0414,0.0418,0.0729,0.0982,0.0750,0.0406,0.0379,OD600:600
E,0.0397,0.1468,0.1328,0.1226,0.0402,0.0404,0.0413,0.0636,0.0656,0.0667,0.0386,0.0378,OD600:600
F,0.0367,0.0893,0.0859,0.0865,0.0428,0.0417,0.0411,0.0632,0.0625,0.0600,0.0484,0.0390,OD600:600
G,0.0384,0.0573,0.0668,0.0572,0.0414,0.0408,0.0415,0.0532,0.0534,0.0547,0.0388,0.0370,OD600:600
H,0.0369,0.0386,0.0383,0.0380,0.0362,0.0379,0.0357,0.0364,0.0371,0.0382,0.0380,0.0382,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1500,2000,0000,0000,0000,0000,6000,5000,1500,0000,5000,0000,479,520
B,0000,5880,5770,5460,1800,1600,0000,3060,2970,2890,0000,0000,479,520
C,0000,4730,4900,4660,0000,0000,9000,2280,2160,2290,0000,1000,479,520
D,0000,4420,3680,3550,1600,3000,0000,1280,1590,1460,5000,0000,479,520
E,6000,3180,2950,2870,2000,7000,0000,7900,7800,7800,0000,1700,479,520
F,2000,1380,1130,1280,0000,5000,0000,1020,7400,6500,0000,0000,479,520
G,0000,6100,5800,5100,0000,1800,0000,5300,3200,4100,3000,6000,479,520
H,1700,0000,0000,0000,0000,2000,4000,1500,0000,0000,3000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1300,3000,3000,0000,2100,4000,0000,1100,2300,3000,1400,3300,579,616
B,2100,2900,1500,7000,8700,9000,1100,2050,1990,1570,0000,3000,579,616
C,8000,0000,1300,4400,1390,9600,1640,1200,6700,1920,2400,1500,579,616
D,3100,0000,5700,2500,7700,1060,1520,4700,6700,4600,7000,0000,579,616
E,1200,1800,0000,3100,1430,1620,1030,7200,8200,7100,1400,0000,579,616
F,1900,2300,1000,1900,8600,1500,1570,6500,4800,9300,2000,2800,579,616
G,2200,2000,3600,2200,1510,8300,1920,6900,9600,4600,2600,3300,579,616
H,5000,2300,3500,6000,1500,9000,8000,0000,2900,0000,7000,6000,579,616
