, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0868,0.0812,0.0813,0.0852,0.0808,0.0883,0.0839,0.0836,0.0843,0.0890,0.0887,0.0961,OD600:600
B,0.0970,1.0382,1.0071,1.0039,0.6913,0.6965,0.6859,1.0289,1.0155,1.0412,0.1102,0.1237,OD600:600
C,0.1038,0.8527,0.8181,0.7971,0.5290,0.5230,0.5091,0.8261,0.8158,0.8282,0.1020,0.0914,OD600:600
D,0.0965,0.5891,0.5707,0.5776,0.2850,0.2870,0.2812,0.5640,0.5681,0.5438,0.1036,0.0950,OD600:600
E,0.1029,0.3696,0.3686,0.3662,0.1639,0.1673,0.1636,0.3598,0.3382,0.3194,0.1037,0.0900,OD600:600
F,0.1011,0.2606,0.2098,0.1842,0.1245,0.1245,0.1297,0.1915,0.2108,0.2165,0.1009,0.0935,OD600:600
G,0.1013,0.1285,0.1442,0.1260,0.1152,0.1137,0.1123,0.1225,0.1219,0.1186,0.1048,0.0883,OD600:600
H,0.0821,0.1182,0.0955,0.1004,0.1012,0.1004,0.1022,0.0923,0.0872,0.0896,0.0820,0.0837,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1000,0000,9000,0000,0000,0000,4000,0000,1600,1000,4000,1000,479,520
B,0000,1672,1579,1582,1400,2300,1900,1335,1343,1396,0000,0000,479,520
C,0000,1412,1264,1175,1500,1100,0000,1028,9980,1003,1200,1900,479,520
D,0000,9000,8230,7640,9000,1400,0000,6110,5890,5650,8000,0000,479,520
E,8000,4850,4930,4330,0000,0000,1400,2820,2340,2480,1300,1200,479,520
F,0000,2550,2140,1870,1000,0000,2000,1490,1680,1430,5000,4000,479,520
G,3000,7500,5300,6900,2100,1300,5000,3400,5500,6000,8000,0000,479,520
H,6000,3100,6000,1000,1100,4000,3000,0000,5000,9000,4000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,2200,4900,2100,5200,0000,1300,2100,7000,3900,0000,1500,3300,579,616
B,0000,6900,6000,4000,16203,15484,15579,2830,2672,2729,0000,0000,579,616
C,1600,0000,7000,5900,11589,10864,11321,1741,1795,1812,1900,2400,579,616
D,3100,2200,1700,2400,5760,5535,5827,7810,1019,6340,2400,1400,579,616
E,2300,2400,2300,1500,2320,2249,2264,3210,2560,4360,2000,1700,579,616
F,2200,3300,8000,1800,1075,1133,9540,1950,2010,2040,1300,2200,579,616
G,8000,8000,5200,0000,4900,4790,3680,1030,1240,1290,0000,2200,579,616
H,2700,0000,0000,0000,8000,1100,2800,2000,1500,1400,2200,6000,579,616
