, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0848,0.0817,0.0821,0.0835,0.0810,0.0880,0.0846,0.0837,0.0847,0.0889,0.0861,0.0841,OD600:600
B,0.0950,1.0167,0.9798,0.9769,0.6896,0.6934,0.6819,1.0096,0.9978,1.0277,0.1033,0.1194,OD600:600
C,0.1032,0.8268,0.7917,0.7760,0.5331,0.5265,0.5101,0.8070,0.8008,0.8116,0.1040,0.0913,OD600:600
D,0.0934,0.5741,0.5558,0.5663,0.2871,0.2903,0.2818,0.5627,0.5695,0.5425,0.1020,0.0966,OD600:600
E,0.1020,0.3522,0.3579,0.3561,0.1657,0.1706,0.1694,0.3630,0.3429,0.3231,0.1024,0.0918,OD600:600
F,0.0976,0.2534,0.1920,0.1906,0.1244,0.1242,0.1302,0.1907,0.2108,0.2141,0.1114,0.0957,OD600:600
G,0.0980,0.1289,0.1387,0.1251,0.1144,0.1138,0.1125,0.1219,0.1215,0.1193,0.1033,0.0954,OD600:600
H,0.0809,0.1115,0.0885,0.0923,0.0966,0.0968,0.0987,0.0889,0.0868,0.0859,0.0835,0.0836,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,6000,1000,1100,3800,0000,0000,0000,0000,1100,9000,9000,1000,479,520
B,1000,1615,1572,1529,7000,1800,1100,1232,1304,1294,2000,1000,479,520
C,0000,1260,1203,1152,2100,0000,2000,9220,9690,9760,0000,0000,479,520
D,4000,8800,7920,7260,1400,2900,1400,5780,5910,5710,5000,0000,479,520
E,2800,4560,4520,4380,4000,1500,1000,2830,2500,2310,6000,2000,479,520
F,6000,2680,1860,1890,1200,1000,1500,1260,1640,1580,7000,0000,479,520
G,0000,6500,1050,6100,0000,2000,0000,5900,4700,5700,0000,2000,479,520
H,0000,0000,0000,0000,1800,0000,1300,0000,0000,0000,3000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,2600,1400,2000,1600,1100,1000,1100,0000,0000,6000,1800,2400,579,616
B,3100,9700,6700,1090,16321,15936,16638,2946,2967,3172,4000,2700,579,616
C,1300,5100,7100,4600,12064,11049,11295,1971,2072,2056,0000,1500,579,616
D,2200,1900,4100,1500,5869,5707,5955,8020,9530,9270,1000,3000,579,616
E,2300,2700,4200,2200,2187,2284,2419,3160,4440,3470,1700,1000,579,616
F,3700,4000,3300,9000,1079,9420,1086,2970,2700,2470,2000,2100,579,616
G,2100,1000,1300,3000,5280,5090,4760,1320,1790,1310,1900,3500,579,616
H,3300,1400,1000,4000,3500,0000,3200,2000,4000,1200,1500,1700,579,616
