, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0864,0.0817,0.0819,0.0852,0.0818,0.0887,0.0863,0.0851,0.0865,0.0890,0.0894,0.1061,OD600:600
B,0.1000,1.0148,1.0039,1.0039,0.6253,0.6334,0.6236,0.9675,0.9669,0.9587,0.1050,0.1149,OD600:600
C,0.1022,0.8087,0.7983,0.7920,0.4510,0.4530,0.4499,0.7580,0.7485,0.7476,0.1041,0.0950,OD600:600
D,0.0946,0.5420,0.5258,0.5386,0.2660,0.2652,0.2650,0.4770,0.4832,0.4571,0.1013,0.0955,OD600:600
E,0.0988,0.3473,0.3378,0.3332,0.1617,0.1616,0.1609,0.2802,0.2502,0.2519,0.1009,0.0939,OD600:600
F,0.0989,0.2060,0.1860,0.1783,0.1238,0.1222,0.1263,0.1655,0.1686,0.1701,0.1110,0.0975,OD600:600
G,0.0977,0.1277,0.1446,0.1252,0.1139,0.1114,0.1101,0.1199,0.1196,0.1175,0.1041,0.0944,OD600:600
H,0.0820,0.1160,0.0914,0.0940,0.0965,0.0990,0.1002,0.0875,0.0874,0.0849,0.0818,0.0845,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,4000,0000,1000,0000,4000,0000,0000,0000,0000,0000,0000,1300,479,520
B,1000,1219,1211,1242,9000,4000,6000,9930,9810,1005,2000,6000,479,520
C,6000,9750,9430,9560,2300,4000,2600,7480,7290,7390,2000,0000,479,520
D,2400,6180,5770,5780,5000,9000,1000,4700,4400,4090,2000,7000,479,520
E,1200,3420,3170,3190,2000,1300,0000,2090,1780,1800,1200,4000,479,520
F,3700,1610,8800,1160,0000,3000,0000,8300,9300,9000,5000,4000,479,520
G,2000,4300,5800,3200,0000,4000,9000,4100,4100,2700,4000,0000,479,520
H,2100,1000,5000,3300,0000,9000,0000,2100,3000,0000,6000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,2000,0000,2000,2900,3400,2600,2600,1100,0000,1400,1300,2600,579,616
B,2000,4200,0000,5000,8913,8937,8246,1611,1663,1720,8000,0000,579,616
C,7000,4000,1400,3800,6830,7092,6899,8590,9700,1096,3000,1700,579,616
D,8000,3400,7000,1300,3925,3787,3808,5850,6410,5070,1200,1800,579,616
E,1900,0000,8000,0000,1842,1754,1814,2100,2830,2590,0000,0000,579,616
F,2300,0000,0000,2400,7240,8700,8570,1470,1430,7200,8000,8000,579,616
G,9000,2500,0000,2200,4000,4270,3380,9200,1050,1020,0000,1100,579,616
H,2300,3600,3000,2000,2000,1600,7000,0000,4300,3400,1800,9000,579,616
