, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0556,0.0514,0.0366,0.0387,0.0374,0.0374,0.0368,0.0442,0.0378,0.0427,0.0365,0.0399,OD600:600
B,0.0382,0.8823,0.8554,0.8838,0.9172,0.7788,0.7330,0.8955,0.8785,0.8796,0.0388,0.0371,OD600:600
C,0.0391,0.7508,0.7505,0.7937,0.5175,0.5166,0.5166,0.6900,0.6957,0.6831,0.0378,0.0380,OD600:600
D,0.0369,0.3915,0.3856,0.4201,0.3399,0.3231,0.3384,0.3882,0.3940,0.3843,0.0374,0.0374,OD600:600
E,0.0380,0.2142,0.2148,0.2154,0.1817,0.1825,0.1834,0.2118,0.2146,0.2139,0.0376,0.0379,OD600:600
F,0.0382,0.1418,0.1437,0.1519,0.1164,0.1221,0.1178,0.1363,0.1420,0.1413,0.0373,0.0385,OD600:600
G,0.0388,0.0749,0.0697,0.0708,0.0564,0.0521,0.0538,0.0631,0.0634,0.0647,0.0373,0.0362,OD600:600
H,0.0376,0.0658,0.0651,0.0378,0.0371,0.0378,0.0361,0.0368,0.0363,0.0379,0.0372,0.0385,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1000,5400,0000,0000,1000,2000,4000,2000,9000,2000,0000,0000,479,520
B,5000,3020,2906,2979,1000,0000,8000,2074,1976,2080,0000,9000,479,520
C,1100,2496,2544,2563,1300,7000,1800,1926,1932,1899,0000,4000,479,520
D,0000,1233,1229,1230,5000,4000,1900,9320,9200,9030,2000,0000,479,520
E,0000,5980,6110,5930,4000,1700,9000,4450,4870,4240,0000,0000,479,520
F,3000,3920,3790,4210,0000,6000,2000,2880,3090,3160,6000,0000,479,520
G,1000,1510,1120,1260,3000,8000,0000,9200,1090,9600,6000,1000,479,520
H,2000,1150,1290,0000,7000,9000,1100,4000,5000,8000,0000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0000,4300,0000,2100,2700,1100,5000,0000,1400,1000,2100,1100,579,616
B,1200,1000,2700,1100,6571,6331,6237,4390,4240,4311,0000,2600,579,616
C,1900,3100,5100,4000,9469,9402,9641,3537,3781,3609,6000,1200,579,616
D,0000,1500,0000,3100,9252,9173,10019,3032,2921,2829,1200,5000,579,616
E,1600,4900,1300,3000,5959,5581,5824,1635,1785,1689,2000,2200,579,616
F,2600,1700,1800,2900,3586,3755,3484,1035,8710,1046,5000,2000,579,616
G,1900,2100,3400,2000,9880,7750,7230,1990,2150,2260,8000,7000,579,616
H,1400,1500,2300,2200,6000,1600,0000,2600,1200,0000,1500,3000,579,616
