, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0560,0.0524,0.0368,0.0387,0.0372,0.0375,0.0368,0.0443,0.0378,0.0429,0.0366,0.0378,OD600:600
B,0.0386,0.8144,0.7775,0.8220,0.9470,0.8275,0.8030,0.8453,0.8186,0.8106,0.0384,0.0370,OD600:600
C,0.0388,0.7560,0.7019,0.7086,0.5089,0.5070,0.5018,0.6323,0.6321,0.6171,0.0376,0.0380,OD600:600
D,0.0369,0.3916,0.3867,0.4243,0.3462,0.3286,0.3445,0.3892,0.3947,0.3859,0.0374,0.0374,OD600:600
E,0.0378,0.2139,0.2154,0.2161,0.1865,0.1872,0.1881,0.2125,0.2146,0.2153,0.0375,0.0379,OD600:600
F,0.0382,0.1422,0.1444,0.1535,0.1191,0.1249,0.1207,0.1370,0.1431,0.1430,0.0378,0.0384,OD600:600
G,0.0384,0.0746,0.0693,0.0706,0.0571,0.0521,0.0537,0.0630,0.0639,0.0648,0.0374,0.0365,OD600:600
H,0.0373,0.0648,0.0640,0.0374,0.0373,0.0395,0.0359,0.0372,0.0359,0.0382,0.0371,0.0387,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1900,3700,0000,1500,6000,0000,0000,0000,8000,2000,0000,1300,479,520
B,0000,2789,2621,2741,1400,1000,0000,1913,1806,1822,0000,2000,479,520
C,0000,2586,2493,2469,8000,1200,2000,1797,1771,1735,7000,0000,479,520
D,7000,1241,1260,1290,9000,0000,1000,9320,9830,9660,4000,1000,479,520
E,0000,6620,6170,6120,1000,1900,0000,4340,4610,4400,0000,6000,479,520
F,3400,4280,4000,4320,0000,1600,4000,2730,2940,3010,0000,0000,479,520
G,0000,1670,1260,1450,1000,6000,1000,8600,1100,8500,0000,9000,479,520
H,0000,1370,1360,0000,1400,8000,4000,0000,9000,1000,3000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,8000,3400,1300,3400,2100,1100,1100,4000,5600,0000,1200,3200,579,616
B,1400,2300,2000,4000,6255,6013,5651,4469,4118,4424,9000,8000,579,616
C,4700,1500,1900,4000,7756,8208,8046,3592,3551,3409,2100,6000,579,616
D,4600,2200,2900,2600,8941,8397,8398,2983,2576,2922,2000,1000,579,616
E,3700,1400,2400,3000,6142,6185,5975,1523,1657,1428,8000,0000,579,616
F,2400,2500,4200,9000,3851,3609,3555,9160,9210,9600,0000,1300,579,616
G,0000,0000,1400,5000,8770,7370,7050,1820,2010,2050,8000,0000,579,616
H,2200,3500,2200,0000,2300,7000,1400,2100,0000,0000,3000,1700,579,616
