, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.1003,0.1207,0.0840,0.0891,0.0871,0.0923,0.0974,0.0987,0.0996,0.1018,0.0932,0.0826,OD600:600
B,0.0856,0.9944,1.2046,1.2817,1.0164,1.0257,1.0144,1.2650,1.2409,1.2347,0.1064,0.0948,OD600:600
C,0.0929,0.8768,0.8980,1.0062,0.7894,0.7791,0.7628,0.9957,0.9839,0.9960,0.1308,0.0994,OD600:600
D,0.0931,0.4442,0.4578,0.6522,0.5217,0.5176,0.5642,0.6048,0.6983,0.6154,0.1324,0.1017,OD600:600
E,0.0863,0.2766,0.2950,0.3051,0.3640,0.4066,0.4188,0.4560,0.4617,0.4563,0.2468,0.1023,OD600:600
F,0.0933,0.2117,0.2413,0.2994,0.2921,0.3514,0.3740,0.3979,0.3992,0.4003,0.2983,0.1122,OD600:600
G,0.1000,0.1455,0.1542,0.1677,0.1600,0.1554,0.1535,0.1723,0.1617,0.1647,0.1301,0.1184,OD600:600
H,0.0824,0.1329,0.1329,0.0994,0.1013,0.1024,0.1035,0.1000,0.1010,0.0981,0.0969,0.0845,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1700,1080,0000,0000,7000,0000,2000,1000,0000,7000,2000,3000,479,520
B,0000,1996,2109,2190,6000,2200,5000,1569,1669,1613,0000,0000,479,520
C,0000,1462,1466,1426,1300,8000,2000,9880,1012,1005,3000,1000,479,520
D,2800,7390,6920,7090,0000,1200,0000,2820,3990,4370,0000,0000,479,520
E,5000,3830,3770,3250,0000,3700,4000,1150,1300,1190,5000,0000,479,520
F,0000,2770,2100,2250,2000,1000,4000,6900,8900,6200,0000,1000,479,520
G,0000,1040,8800,9100,2000,4000,0000,4900,5300,5200,1800,7000,479,520
H,1300,1100,7800,0000,0000,7000,1000,0000,1000,5000,6000,1400,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1900,2900,0000,8000,0000,1800,2600,0000,1700,7000,3000,7000,579,616
B,8000,7200,3500,5500,26896,25796,26642,7414,7612,7339,1000,1000,579,616
C,7000,0000,1200,2200,16744,15575,16159,4827,5030,4874,9000,2400,579,616
D,1900,1300,6000,2500,6712,5277,4850,1440,1845,2339,0000,9000,579,616
E,1100,0000,1700,1000,3432,2859,2673,5630,6080,7690,3000,0000,579,616
F,1200,1500,0000,1400,2320,1627,1341,3310,3200,3050,2000,0000,579,616
G,2000,1800,6000,1000,8940,6580,6550,1560,1980,1890,1300,2200,579,616
H,1800,3300,2600,0000,4100,1300,2500,1900,3400,6800,2300,2600,579,616
