, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0995,0.1368,0.0942,0.0970,0.0917,0.0957,0.0998,0.1008,0.1019,0.1589,0.0966,0.0819,OD600:600
B,0.0894,0.9545,1.2073,1.2970,1.0763,1.0757,1.0538,1.2818,1.2222,1.2160,0.1086,0.1017,OD600:600
C,0.1050,0.7276,0.9178,1.0001,0.8091,0.8273,0.8125,0.9996,0.9981,1.0207,0.1342,0.1007,OD600:600
D,0.0972,0.4329,0.4485,0.7005,0.6106,0.5846,0.6387,0.8055,0.8303,0.7310,0.1343,0.1025,OD600:600
E,0.1254,0.2788,0.2944,0.3406,0.4648,0.4801,0.4364,0.5032,0.4935,0.4926,0.3133,0.1035,OD600:600
F,0.0978,0.2170,0.2460,0.3950,0.3831,0.4136,0.3747,0.4282,0.4331,0.4223,0.3220,0.1152,OD600:600
G,0.1024,0.1548,0.1652,0.1744,0.1623,0.1847,0.1876,0.1838,0.1642,0.1670,0.1314,0.1187,OD600:600
H,0.0820,0.1426,0.1386,0.1006,0.1021,0.1016,0.1056,0.1004,0.1005,0.1002,0.0973,0.0849,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0000,1440,0000,0000,4000,2000,5000,0000,1100,5000,2000,3000,479,520
B,0000,1980,2194,2515,2700,1600,1500,1681,1740,1598,2000,0000,479,520
C,0000,1411,1546,1525,0000,1100,1400,1059,1062,1095,2000,0000,479,520
D,0000,7890,6740,7600,1300,2900,1100,2700,3500,4220,0000,0000,479,520
E,0000,4360,3900,2630,1500,2000,0000,7600,9800,8000,1000,9000,479,520
F,0000,3470,2590,1780,0000,1200,0000,4100,6000,5100,0000,0000,479,520
G,0000,1140,9600,8500,2500,4000,3000,4700,4400,6300,9000,1200,479,520
H,6000,1670,1150,4000,1900,0000,1000,1500,5000,2000,0000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,2300,2800,5000,0000,0000,1000,2300,2000,1700,1800,1800,3000,579,616
B,6000,1360,1070,1260,28805,27871,28403,8926,8740,8474,2000,1400,579,616
C,0000,7400,1240,1320,18376,17820,17826,6332,6293,6075,5000,3500,579,616
D,0000,4200,8100,6900,4982,3863,3327,1424,1840,1850,2300,2000,579,616
E,0000,1600,3700,1900,2255,1852,1702,5460,4570,5230,0000,9000,579,616
F,0000,2600,3100,2300,1712,1166,1153,3330,3540,3340,9000,0000,579,616
G,2000,1800,2400,1000,1043,6750,6490,1610,2020,2770,2000,7000,579,616
H,2200,2900,9000,0000,2900,1500,2700,3800,2500,9000,2000,2600,579,616
