, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.1024,0.1359,0.0904,0.0979,0.0905,0.0963,0.0988,0.1003,0.1012,0.1664,0.0983,0.0819,OD600:600
B,0.0890,0.9655,1.2170,1.2989,1.0920,1.1064,1.0632,1.2759,1.2283,1.2148,0.1076,0.1016,OD600:600
C,0.0979,0.7895,0.9219,0.9810,0.7893,0.7971,0.7850,0.9722,0.9740,0.9959,0.1060,0.1023,OD600:600
D,0.0963,0.4314,0.4291,0.6753,0.5844,0.5795,0.6373,0.7892,0.7960,0.6861,0.1055,0.1034,OD600:600
E,0.0901,0.2782,0.2746,0.3149,0.4430,0.4643,0.4485,0.4918,0.4980,0.4935,0.3068,0.1021,OD600:600
F,0.0979,0.2176,0.2201,0.3670,0.3753,0.4078,0.4127,0.4106,0.4334,0.4268,0.3357,0.1036,OD600:600
G,0.1040,0.1543,0.1439,0.1468,0.1356,0.1624,0.1615,0.1736,0.1387,0.1411,0.1067,0.1054,OD600:600
H,0.0827,0.1435,0.1396,0.1022,0.1040,0.1010,0.1076,0.1003,0.1024,0.1020,0.0988,0.0857,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,3300,1220,1600,0000,0000,1000,9000,7000,8000,4000,4000,0000,479,520
B,2300,2124,2172,2455,2400,2000,0000,1675,1734,1655,0000,0000,479,520
C,1000,1501,1584,1636,3000,9000,1700,1201,1209,1211,0000,0000,479,520
D,0000,8760,7600,8840,0000,0000,0000,2800,4020,4520,1500,0000,479,520
E,2000,5030,4430,3180,1000,2100,0000,8000,9900,8900,2000,1100,479,520
F,0000,3690,2980,2070,1200,1700,1200,4500,4200,5300,2000,0000,479,520
G,2000,1610,1290,1020,0000,0000,0000,5200,6000,8300,6000,1000,479,520
H,3500,1690,1230,0000,3000,0000,1200,5000,1200,1000,6000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1900,4800,3100,3600,2300,2000,0000,2000,2200,2000,0000,9000,579,616
B,1200,6300,7600,1600,29251,27488,27896,8296,8482,8227,1500,1000,579,616
C,2700,6200,3100,8300,20393,19736,18968,6960,6781,6685,3200,2200,579,616
D,2500,6000,2300,3100,5206,4082,3786,1467,2070,2412,2600,0000,579,616
E,2500,1500,1500,2900,2455,1813,1967,4860,5560,5300,1000,4000,579,616
F,2000,4000,3900,3900,1788,1196,9340,3010,3570,2940,0000,2300,579,616
G,0000,1000,1000,1300,9170,8230,6560,2870,1990,2500,1600,2300,579,616
H,3100,7000,2100,2700,6100,4100,0000,3200,2500,2800,1200,1000,579,616
