, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0398,0.0371,0.0371,0.0404,0.0387,0.0369,0.0371,0.0381,0.0427,0.0454,0.0359,0.0392,OD600:600
B,0.0371,0.0432,0.0435,0.0439,0.0426,0.0433,0.0429,0.0439,0.0455,0.0460,0.0382,0.0376,OD600:600
C,0.0391,0.0456,0.0457,0.0456,0.0453,0.0428,0.0458,0.0444,0.0444,0.0439,0.0384,0.0383,OD600:600
D,0.0368,0.0450,0.0434,0.0424,0.0397,0.0422,0.0427,0.0436,0.0433,0.0421,0.0406,0.0376,OD600:600
E,0.0388,0.0440,0.0446,0.0440,0.0423,0.0414,0.0428,0.0429,0.0435,0.0487,0.0369,0.0386,OD600:600
F,0.0456,0.0442,0.0441,0.0442,0.0410,0.0493,0.0429,0.0439,0.0533,0.0422,0.0377,0.0382,OD600:600
G,0.0388,0.0463,0.0463,0.0445,0.0412,0.0405,0.0425,0.0432,0.0414,0.0524,0.0371,0.0370,OD600:600
H,0.0374,0.0385,0.0384,0.0413,0.0365,0.0373,0.0380,0.0418,0.0471,0.0387,0.0377,0.0382,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,2000,7000,2500,1200,0000,1100,0000,6000,2000,4000,1900,0000,479,520
B,0000,3200,3500,2400,1100,0000,1000,2000,1900,4000,0000,3000,479,520
C,1300,0000,2500,2100,9000,0000,0000,2400,1600,1000,0000,3000,479,520
D,0000,2700,2500,1000,0000,2000,0000,1800,1600,1600,6000,0000,479,520
E,0000,4200,2900,2300,0000,0000,0000,0000,5000,2900,4000,0000,479,520
F,2000,3400,0000,1300,0000,0000,4000,2000,1100,1100,1000,0000,479,520
G,0000,2700,5000,2100,0000,4000,0000,1200,1600,1100,1000,8000,479,520
H,0000,0000,7000,2600,0000,4000,3000,9000,7000,0000,2000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,8000,3500,2000,1800,1300,8000,0000,0000,2000,1000,2900,0000,579,616
B,1100,2100,2400,1700,1120,3900,3600,4400,7900,5800,1000,1600,579,616
C,1500,6000,1300,2300,8800,9800,1350,4300,5800,1600,3400,3900,579,616
D,1400,3100,2600,1000,1000,5000,1000,5300,3400,5100,3000,3000,579,616
E,5000,3700,2600,0000,8100,1010,6800,3700,3700,4800,4400,0000,579,616
F,1800,3000,1200,1000,1050,1400,7500,4100,2000,3400,3400,0000,579,616
G,6000,3000,3200,9000,8200,8600,8200,3200,5100,4700,2100,1000,579,616
H,3600,3000,2000,2500,2500,5400,2800,9000,6000,7000,7000,6000,579,616
