, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.1003,0.1213,0.0830,0.0963,0.0886,0.0949,0.0979,0.1008,0.1016,0.1046,0.0972,0.0820,OD600:600
B,0.0870,0.9969,1.2063,1.2844,1.0163,1.0271,1.0134,1.2670,1.2440,1.2349,0.1064,0.1000,OD600:600
C,0.0947,0.8801,0.8986,0.9837,0.7601,0.7447,0.7319,0.9665,0.9576,0.9710,0.1056,0.1024,OD600:600
D,0.0947,0.4482,0.4409,0.6395,0.5231,0.5187,0.5635,0.6040,0.6976,0.5989,0.1046,0.1045,OD600:600
E,0.0880,0.2785,0.2794,0.2903,0.3641,0.4039,0.4160,0.4546,0.4626,0.4559,0.2470,0.1029,OD600:600
F,0.0942,0.2121,0.2191,0.2967,0.2897,0.3499,0.3720,0.4010,0.3961,0.3990,0.2949,0.1048,OD600:600
G,0.0999,0.1469,0.1410,0.1450,0.1344,0.1344,0.1354,0.1566,0.1374,0.1396,0.1058,0.1057,OD600:600
H,0.0824,0.1348,0.1332,0.0991,0.1012,0.1001,0.1054,0.0978,0.1002,0.0988,0.0960,0.0848,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,7000,1100,1200,3000,6000,1000,0000,0000,0000,0000,3000,0000,479,520
B,0000,1997,2109,2163,0000,2600,1100,1630,1611,1604,1000,3000,479,520
C,0000,1442,1432,1605,0000,3100,1000,1157,1119,1121,3000,0000,479,520
D,0000,7330,7000,8200,0000,5000,5000,2870,4260,4580,1300,0000,479,520
E,3000,3620,3850,2990,0000,4000,7000,1130,1150,1150,5000,0000,479,520
F,2900,2660,2210,2230,2400,0000,1300,7300,8200,7300,0000,0000,479,520
G,0000,9100,6700,8700,1100,8000,1200,5700,6600,6300,0000,0000,479,520
H,5000,7000,8100,1800,0000,7000,1500,8000,5000,1000,4000,9000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1500,5400,1500,1400,4900,1200,4300,3000,1200,2400,1400,1100,579,616
B,9000,3500,2800,2700,25799,25140,26612,7081,7453,7172,2100,3000,579,616
C,3200,5800,3100,3900,18363,16647,17534,5561,5652,5397,2200,1800,579,616
D,6000,2100,2700,2700,7021,5603,4989,1584,2403,2332,1600,6000,579,616
E,4300,0000,3500,3300,3512,2888,2673,6690,5370,6940,3400,2000,579,616
F,1600,1100,0000,3500,2278,1503,1190,2490,4030,4810,2300,9000,579,616
G,3000,0000,4000,0000,8180,7460,6650,2350,1920,1430,2400,8000,579,616
H,2600,2300,2100,4400,2900,1000,0000,0000,1200,1100,3700,3000,579,616
