, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0860,0.0873,0.0880,0.0941,0.0892,0.0945,0.0966,0.0947,0.0966,0.0873,0.0873,0.0834,OD600:600
B,0.0929,0.6380,0.7651,0.7984,0.6416,0.6718,0.6490,0.7280,0.7201,0.7114,0.1071,0.0975,OD600:600
C,0.0954,0.5897,0.6803,0.8978,0.7131,0.6907,0.6634,0.8274,0.8301,0.8436,0.3265,0.0992,OD600:600
D,0.0930,0.3596,0.5874,0.6428,0.4756,0.4788,0.5086,0.5986,0.6262,0.5766,0.3376,0.1031,OD600:600
E,0.0947,0.1911,0.4028,0.3844,0.3730,0.3656,0.3739,0.4079,0.4194,0.3848,0.3100,0.1202,OD600:600
F,0.1018,0.1638,0.4006,0.3841,0.3648,0.3837,0.3610,0.3733,0.4042,0.3770,0.3558,0.3239,OD600:600
G,0.1007,0.1346,0.3524,0.3664,0.3208,0.3395,0.3717,0.3734,0.3544,0.3608,0.3475,0.3299,OD600:600
H,0.0916,0.2640,0.1383,0.1170,0.1064,0.1070,0.1120,0.1185,0.1138,0.1091,0.0879,0.0844,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1600,0000,0000,0000,0000,0000,0000,2000,0000,2000,1900,3000,479,520
B,0000,6930,8920,8790,0000,1600,1000,5420,5700,5430,9000,2000,479,520
C,1000,5700,5190,2320,0000,2000,2800,1460,1450,1860,0000,6000,479,520
D,0000,3290,1910,1160,1500,1600,3000,6900,6300,6600,2000,1000,479,520
E,0000,1110,6100,2200,2000,2000,6000,2100,3400,1500,0000,1000,479,520
F,1100,1050,3900,1600,6000,1400,1000,1100,2500,9000,0000,0000,479,520
G,0000,4600,1600,2500,1300,2000,3000,9000,7000,0000,1600,1300,479,520
H,1400,4000,1200,0000,4000,1200,1000,0000,6000,1400,0000,1000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0000,6200,0000,6000,1800,2300,1700,1400,7200,3000,0000,1400,579,616
B,2000,2300,2000,3000,11094,11202,11330,4013,4660,4294,2100,8000,579,616
C,0000,4600,1000,0000,2522,2451,2403,9610,1081,1234,3400,6000,579,616
D,1000,4600,1000,0000,1177,1052,1134,3950,3870,4350,2800,1200,579,616
E,2100,0000,2300,1200,4250,5250,4110,1380,1690,2180,0000,2300,579,616
F,4300,1400,5000,1500,1920,1830,2440,1170,7200,1160,3000,1000,579,616
G,1400,1200,4000,1700,1310,1450,1110,7300,5500,1190,7000,2000,579,616
H,2500,1700,2400,3000,3800,5000,2500,0000,2800,5400,1900,4000,579,616
