, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.1016,0.1265,0.0916,0.0971,0.0919,0.0951,0.0987,0.1021,0.1029,0.1049,0.0985,0.0826,OD600:600
B,0.0879,1.0337,1.1026,1.2016,0.9692,0.9713,0.9621,1.2259,1.2281,1.1560,0.1064,0.0999,OD600:600
C,0.1047,0.8018,0.8025,0.9243,0.6989,0.7003,0.6945,0.8935,0.8816,0.8643,0.1054,0.1024,OD600:600
D,0.0960,0.4582,0.4529,0.5248,0.4425,0.4332,0.4635,0.5160,0.5463,0.5156,0.1088,0.1041,OD600:600
E,0.0872,0.2826,0.2844,0.2874,0.2872,0.2984,0.3035,0.3421,0.3476,0.3408,0.1566,0.1047,OD600:600
F,0.0942,0.2138,0.2211,0.2414,0.2166,0.2359,0.2407,0.2694,0.2772,0.2795,0.1632,0.1060,OD600:600
G,0.1027,0.1476,0.1413,0.1446,0.1313,0.1380,0.1490,0.1671,0.1615,0.1548,0.1072,0.1054,OD600:600
H,0.0825,0.1359,0.1345,0.1002,0.1020,0.1030,0.1052,0.1021,0.1021,0.0988,0.0964,0.0844,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1500,1270,2000,0000,0000,1000,5000,6000,1000,2000,0000,2000,479,520
B,3400,2067,2135,2096,3000,2400,2000,1558,1602,1651,4000,0000,479,520
C,5000,1457,1414,1532,0000,1000,1400,1057,1099,1089,2300,1000,479,520
D,0000,7900,7670,7770,0000,9000,1000,4420,5030,4840,0000,8000,479,520
E,0000,4390,4050,4200,1800,3000,1600,1990,2300,2240,9000,5000,479,520
F,2400,3000,2660,2700,3000,1800,9000,1620,1550,1490,8000,0000,479,520
G,1800,1250,1200,8800,1300,0000,9000,6900,5600,7300,0000,2000,479,520
H,1300,1020,9900,1200,1000,1400,1100,3000,1000,1100,1200,2000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0000,4000,4000,2700,0000,1500,2900,1900,2900,8000,2100,1900,579,616
B,0000,1400,6000,2300,20698,20912,22452,5727,5934,5480,9000,6000,579,616
C,1900,6000,1600,1100,15957,15385,15905,3983,4498,4436,2900,8000,579,616
D,1600,4100,1300,0000,8258,7729,7295,2079,2302,2321,4000,9000,579,616
E,6000,2000,9000,2500,4216,4231,3943,1133,1069,1006,0000,1000,579,616
F,4400,1800,2800,0000,2815,2342,2446,6980,6140,6690,1500,1400,579,616
G,2000,0000,2600,2000,8030,6630,6410,1880,1810,1740,5500,7000,579,616
H,0000,1700,0000,1600,2900,0000,0000,3800,1300,2000,0000,0000,579,616
