, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0868,0.0976,0.0943,0.0988,0.0954,0.1015,0.1002,0.0995,0.1040,0.0873,0.0933,0.0836,OD600:600
B,0.0995,0.7052,0.7633,0.7932,0.6157,0.6486,0.6178,0.6895,0.6909,0.7069,0.1084,0.1003,OD600:600
C,0.1019,0.6157,0.6555,0.8664,0.6557,0.6609,0.6323,0.7707,0.7489,0.7503,0.2700,0.1014,OD600:600
D,0.0999,0.3812,0.5445,0.6448,0.4883,0.4880,0.4937,0.5724,0.5903,0.5596,0.3226,0.1047,OD600:600
E,0.1007,0.1943,0.3640,0.4144,0.3755,0.3928,0.3906,0.4048,0.4550,0.4131,0.3264,0.1130,OD600:600
F,0.1080,0.1730,0.3924,0.3965,0.3601,0.3625,0.3471,0.3713,0.4100,0.3923,0.3378,0.2991,OD600:600
G,0.1073,0.1360,0.3469,0.3420,0.3440,0.3392,0.3412,0.3434,0.3378,0.3540,0.3186,0.2773,OD600:600
H,0.0984,0.3038,0.1480,0.1141,0.1123,0.1115,0.1148,0.1319,0.1146,0.1171,0.0994,0.0838,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1100,0000,1600,0000,6000,0000,0000,1000,6000,0000,7000,6000,479,520
B,0000,7170,8380,8700,2400,1000,7000,5140,5280,5050,0000,6000,479,520
C,0000,5700,5210,2660,2300,0000,0000,1610,1640,2210,0000,0000,479,520
D,0000,3290,2220,1380,4000,1000,1000,6600,6800,6600,4000,0000,479,520
E,9000,1560,8000,2500,1100,6000,1500,2400,3300,2300,0000,9000,479,520
F,1900,1040,4000,5000,9000,4000,0000,1300,3100,2200,2000,0000,479,520
G,0000,4300,2800,8000,0000,0000,6000,0000,9000,3000,2100,0000,479,520
H,1800,0000,6000,9000,1100,5000,5000,0000,0000,4000,5000,3000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1400,0000,2700,0000,2400,2900,1800,3000,7800,6000,7000,1400,579,616
B,1700,3100,2100,1200,10663,9158,10247,3845,3396,4110,6000,1400,579,616
C,0000,3000,1400,2000,2589,2565,2916,9040,1042,1031,0000,1500,579,616
D,2000,2400,2300,3300,1017,9140,1032,4530,3250,4030,1300,3100,579,616
E,7000,5000,6000,1700,4980,4340,4460,1460,1430,1740,1200,1600,579,616
F,3200,1500,0000,2200,2830,2600,1990,1060,7800,7800,4000,0000,579,616
G,1900,4000,2000,0000,1180,1130,1830,6300,1180,6200,6000,0000,579,616
H,5000,1200,2500,2400,6000,2300,1500,0000,2600,6300,1800,1800,579,616
