, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0400,0.0377,0.0377,0.0373,0.0377,0.0370,0.0378,0.0387,0.0427,0.0456,0.0368,0.0390,OD600:600
B,0.0399,0.4132,0.4078,0.4091,0.2238,0.2001,0.1639,0.3193,0.3280,0.3022,0.0395,0.0378,OD600:600
C,0.0389,0.4326,0.4281,0.4345,0.1610,0.1524,0.1499,0.3201,0.3182,0.3148,0.0387,0.0387,OD600:600
D,0.0365,0.2999,0.3012,0.3012,0.1321,0.1378,0.1322,0.2482,0.2531,0.2438,0.0425,0.0373,OD600:600
E,0.0425,0.1134,0.1046,0.1219,0.0815,0.0809,0.0790,0.1105,0.1194,0.1245,0.0371,0.0385,OD600:600
F,0.0454,0.0767,0.0788,0.0800,0.0555,0.0661,0.0545,0.0692,0.0736,0.0756,0.0377,0.0385,OD600:600
G,0.0379,0.0555,0.0626,0.0549,0.0447,0.0434,0.0481,0.0629,0.0509,0.0621,0.0375,0.0368,OD600:600
H,0.0372,0.0741,0.0387,0.0410,0.0362,0.0372,0.0373,0.0461,0.0380,0.0384,0.0385,0.0377,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,5000,2000,0000,1200,3000,0000,1100,1800,1100,7000,1600,6000,479,520
B,0000,7110,6790,6780,1400,2000,2000,4090,4110,3970,0000,1000,479,520
C,0000,7200,7130,6940,0000,1400,1000,3960,3890,3760,4000,2000,479,520
D,1500,4110,4330,4020,6000,9000,0000,2770,2880,2790,0000,0000,479,520
E,1000,2010,1820,1900,6000,1100,0000,1260,1320,1230,4000,3000,479,520
F,3100,1300,1250,1080,9000,0000,0000,5800,6300,6700,0000,6000,479,520
G,2000,5900,5000,4800,5000,1700,1400,3500,2800,3400,0000,1600,479,520
H,2200,0000,2000,8000,2000,0000,1000,3000,3000,1300,8000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1400,1800,1000,9000,2700,0000,0000,6000,4600,2000,4000,0000,579,616
B,0000,0000,7000,4000,1191,1069,1140,5170,5310,4520,1500,2200,579,616
C,0000,2300,0000,3000,8570,8900,8070,5420,3290,4760,1500,8000,579,616
D,1300,5700,2700,4800,7260,7580,7000,3700,3700,4000,1200,1900,579,616
E,3200,3100,6000,0000,5080,5620,4900,1400,1570,1700,0000,0000,579,616
F,2700,4100,8000,3800,2470,2930,2660,9200,1220,1150,1600,1900,579,616
G,4000,1900,1400,9000,1400,1420,2520,1370,1190,1210,0000,1400,579,616
H,5000,9000,3100,3000,2600,0000,9000,4000,2000,2700,0000,1900,579,616
