, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0384,0.0358,0.0373,0.0366,0.0369,0.0392,0.0367,0.0384,0.0382,0.0466,0.0381,0.0416,OD600:600
B,0.0379,0.3118,0.3047,0.2989,0.0439,0.0432,0.0438,0.1713,0.1687,0.1691,0.0405,0.0585,OD600:600
C,0.0408,0.2860,0.2669,0.2562,0.0424,0.0419,0.0437,0.1523,0.1497,0.1501,0.0378,0.0386,OD600:600
D,0.0380,0.2513,0.2363,0.2290,0.0424,0.0426,0.0423,0.1145,0.1448,0.1182,0.0372,0.0378,OD600:600
E,0.0396,0.1653,0.1635,0.1526,0.0406,0.0409,0.0415,0.0917,0.0933,0.0979,0.0387,0.0381,OD600:600
F,0.0370,0.0935,0.0880,0.0900,0.0431,0.0414,0.0415,0.0719,0.0729,0.0700,0.0413,0.0394,OD600:600
G,0.0386,0.0580,0.0650,0.0568,0.0422,0.0415,0.0417,0.0534,0.0529,0.0542,0.0390,0.0373,OD600:600
H,0.0370,0.0383,0.0383,0.0381,0.0362,0.0373,0.0358,0.0364,0.0372,0.0382,0.0383,0.0382,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1400,1000,0000,7000,0000,2900,0000,0000,2000,2000,7000,9000,479,520
B,3000,8120,7940,7560,0000,1000,0000,4220,4440,4300,0000,5000,479,520
C,0000,7040,6530,6470,8000,1000,8000,3560,3540,3660,0000,0000,479,520
D,1100,6290,5920,5640,5000,1600,7000,2770,2870,2980,2000,0000,479,520
E,7000,3310,3270,3060,0000,0000,1000,1930,1740,1900,1700,1200,479,520
F,1400,1470,1040,1400,5000,0000,0000,8900,1030,1010,0000,0000,479,520
G,1500,7000,7000,6000,0000,9000,6000,6000,4000,4500,0000,6000,479,520
H,0000,0000,0000,0000,0000,0000,0000,1500,0000,4000,2000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,9000,1700,8000,3100,2200,1800,2000,2500,2600,2400,3800,2200,579,616
B,0000,1700,0000,2200,1230,1250,1470,3120,2770,3390,3400,1200,579,616
C,1200,0000,1400,1300,2050,1190,1700,1560,2250,1600,2200,1900,579,616
D,0000,2500,1500,2300,9200,1390,1250,9300,1470,1540,8000,0000,579,616
E,9000,0000,6000,1100,1900,1660,1410,9600,1400,8500,3600,1300,579,616
F,4400,1500,1600,5000,1680,1270,1080,1130,1010,7200,9000,0000,579,616
G,2200,4700,3000,3800,1410,1510,1360,6800,7600,1040,9000,1300,579,616
H,0000,2500,5000,9000,0000,1300,0000,8000,6000,3400,2400,0000,579,616
