, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0880,0.0879,0.0899,0.0927,0.0884,0.0941,0.0935,0.0921,0.0964,0.0871,0.0857,0.0837,OD600:600
B,0.0938,0.7189,0.7521,0.7879,0.6014,0.6579,0.6040,0.6643,0.6661,0.6869,0.1060,0.0995,OD600:600
C,0.0982,0.6124,0.6376,0.7735,0.5564,0.5648,0.5395,0.6663,0.6460,0.6461,0.1939,0.1008,OD600:600
D,0.0946,0.3838,0.4842,0.5809,0.4151,0.4152,0.4088,0.4980,0.5159,0.4873,0.2340,0.1040,OD600:600
E,0.0956,0.1905,0.2887,0.3509,0.3061,0.3222,0.3166,0.3596,0.3942,0.3677,0.2501,0.1035,OD600:600
F,0.1052,0.1707,0.2998,0.3125,0.2777,0.2950,0.2915,0.3327,0.3297,0.3201,0.2637,0.1987,OD600:600
G,0.1016,0.1417,0.2726,0.2509,0.2579,0.2600,0.2606,0.2643,0.2541,0.2539,0.2200,0.1878,OD600:600
H,0.0909,0.2516,0.1091,0.1107,0.1122,0.1112,0.1169,0.1351,0.1133,0.1139,0.0977,0.0840,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1600,1400,0000,0000,0000,4000,1000,1000,2700,0000,0000,4000,479,520
B,6000,8210,8580,8830,8000,0000,3000,4990,5430,5450,0000,3000,479,520
C,0000,5950,6160,4210,5000,4000,0000,2170,2690,2500,0000,2100,479,520
D,0000,3270,2710,1510,1100,1200,1200,1020,1080,1010,0000,0000,479,520
E,5000,1170,9300,6800,1500,0000,5000,4400,4400,4500,4000,0000,479,520
F,9000,1000,4500,5700,0000,0000,0000,1500,2600,3300,0000,0000,479,520
G,4000,1700,5100,1100,0000,0000,0000,0000,1700,4000,9000,1600,479,520
H,3200,0000,0000,0000,7000,0000,1800,0000,0000,0000,5000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1800,0000,1200,1000,1000,1700,0000,1500,2500,2000,7000,0000,579,616
B,2600,3400,7000,8000,9287,8623,9464,3447,3503,3795,9000,1300,579,616
C,9000,1100,2700,2800,3967,3793,3880,1335,1428,1838,7000,1300,579,616
D,3500,1100,3300,0000,1709,1497,1593,5430,6110,6630,5000,2500,579,616
E,0000,0000,3300,9000,6670,6710,6390,1770,2100,2250,0000,1300,579,616
F,2700,2300,0000,2100,3510,3250,2640,1250,1610,1400,1600,3000,579,616
G,2500,1800,8000,1800,1630,2270,2440,8100,7400,1390,6000,1500,579,616
H,4700,0000,1100,2600,3100,2700,2300,1100,1100,4500,2000,4000,579,616
