, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0406,0.0381,0.0387,0.0377,0.0379,0.0374,0.0371,0.0384,0.0437,0.0456,0.0365,0.0390,OD600:600
B,0.0392,0.5984,0.5712,0.5826,0.4911,0.4986,0.4611,0.4751,0.4910,0.4590,0.0384,0.0374,OD600:600
C,0.0387,0.4953,0.4894,0.4906,0.5003,0.4892,0.4774,0.4250,0.4210,0.4232,0.0387,0.0380,OD600:600
D,0.0367,0.3201,0.3206,0.3299,0.1902,0.1918,0.1894,0.2578,0.2604,0.2428,0.0445,0.0377,OD600:600
E,0.0377,0.1499,0.1417,0.1696,0.0847,0.0839,0.0820,0.1126,0.1417,0.1394,0.0370,0.0385,OD600:600
F,0.0456,0.0784,0.0826,0.0804,0.0563,0.0670,0.0554,0.0745,0.0769,0.0834,0.0378,0.0388,OD600:600
G,0.0383,0.0553,0.0620,0.0549,0.0451,0.0442,0.0475,0.0572,0.0512,0.0626,0.0376,0.0361,OD600:600
H,0.0372,0.0537,0.0389,0.0410,0.0373,0.0371,0.0415,0.0474,0.0378,0.0385,0.0376,0.0378,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0000,7000,0000,3400,5000,0000,0000,4000,1700,1300,0000,1600,479,520
B,1000,1011,9960,1005,0000,0000,0000,6280,6470,6380,5000,0000,479,520
C,0000,7810,7910,8060,1000,8000,1100,4820,5210,5120,0000,1000,479,520
D,5000,4230,4500,4380,0000,2500,3000,2960,3060,2850,3000,1700,479,520
E,4000,1730,2020,1990,0000,0000,0000,1320,1580,1390,3000,4000,479,520
F,3000,1080,8200,1020,0000,0000,0000,6500,8000,6800,0000,3000,479,520
G,0000,4900,6100,4000,4000,1700,4000,2100,1800,2300,0000,1200,479,520
H,0000,2800,0000,3000,0000,0000,6000,3000,6000,5000,7000,1000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,2300,4300,0000,1200,9000,2500,1500,1400,3900,1000,3400,4000,579,616
B,1900,0000,4700,7000,2413,2464,2431,6390,6570,6410,0000,1000,579,616
C,1600,2000,0000,2300,2257,2320,2181,8160,8130,8420,2700,9000,579,616
D,1900,2000,5000,0000,1799,1599,1692,6100,6690,6240,0000,1500,579,616
E,1600,2900,1600,2000,7100,7210,5920,2190,2810,2580,9000,4300,579,616
F,7000,1900,2500,1500,4070,3820,3990,1310,1500,1840,2100,1800,579,616
G,3100,0000,1500,8000,2470,2170,3040,1340,1640,1640,0000,2000,579,616
H,1400,1000,1400,2300,0000,4400,2700,2400,2700,1500,3000,9000,579,616
