, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0560,0.0444,0.0365,0.0393,0.0372,0.0373,0.0374,0.0454,0.0377,0.0427,0.0369,0.0372,OD600:600
B,0.0386,0.5087,0.5140,0.5129,0.2497,0.2520,0.2397,0.5018,0.4776,0.4820,0.0383,0.0371,OD600:600
C,0.0391,0.4087,0.4042,0.4335,0.2479,0.2453,0.2439,0.4423,0.4450,0.4444,0.0376,0.0381,OD600:600
D,0.0369,0.2513,0.2437,0.2608,0.2234,0.2002,0.2143,0.2492,0.2611,0.2468,0.0375,0.0375,OD600:600
E,0.0376,0.1898,0.1752,0.1796,0.1254,0.1248,0.1243,0.1621,0.1624,0.1625,0.0376,0.0380,OD600:600
F,0.0383,0.1441,0.1443,0.1519,0.0876,0.0930,0.0880,0.1177,0.1224,0.1218,0.0375,0.0387,OD600:600
G,0.0382,0.0720,0.0716,0.0702,0.0554,0.0507,0.0523,0.0636,0.0636,0.0650,0.0371,0.0371,OD600:600
H,0.0378,0.0520,0.0529,0.0379,0.0367,0.0373,0.0359,0.0369,0.0360,0.0387,0.0374,0.0387,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0000,1800,0000,0000,0000,2700,0000,0000,1600,9000,9000,1600,479,520
B,1800,9750,8790,9770,0000,0000,3000,7210,6920,6970,1000,1000,479,520
C,1000,1005,8960,9560,2000,5000,1300,6600,6540,6700,1000,0000,479,520
D,2000,8180,7570,8100,0000,1000,0000,5240,5180,5050,5000,0000,479,520
E,9000,7870,6810,6780,1000,1300,4000,4020,4100,3900,0000,5000,479,520
F,2600,4440,4510,5150,0000,0000,5000,3440,3690,3650,1000,0000,479,520
G,9000,1200,1180,1430,2100,0000,3000,9800,9900,1050,0000,2000,479,520
H,1300,0000,2000,0000,1000,0000,1000,0000,0000,0000,1000,4000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,2700,2600,0000,1100,2500,0000,0000,2100,5000,3600,3000,1300,579,616
B,0000,1200,3800,5000,1705,1858,1787,7760,4990,5750,1600,1000,579,616
C,0000,2400,0000,2000,1630,1528,1707,6230,7330,7650,3100,1300,579,616
D,3200,2500,1500,3400,1559,1504,1514,1011,9060,7780,2800,1600,579,616
E,4400,2000,4800,9000,1399,1440,1544,7580,7260,6740,1500,1100,579,616
F,1800,3700,2800,0000,1188,1398,1109,4650,4700,5430,1500,1700,579,616
G,1700,8000,2700,1800,5330,4910,4800,1450,1000,1220,1000,4000,579,616
H,3600,1000,8000,0000,1000,1600,4600,0000,1300,9000,1800,2000,579,616
