, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0861,0.0901,0.0912,0.0939,0.0908,0.0972,0.0976,0.0964,0.0987,0.0872,0.0915,0.0833,OD600:600
B,0.0967,0.5849,0.7388,0.7870,0.6139,0.6600,0.6419,0.7656,0.7387,0.6507,0.1092,0.1016,OD600:600
C,0.1001,0.4462,0.6629,0.8798,0.6800,0.6594,0.6526,0.8565,0.9013,0.8911,0.3256,0.1031,OD600:600
D,0.0982,0.2876,0.5652,0.5590,0.3583,0.3916,0.4096,0.4505,0.6113,0.4948,0.3425,0.1054,OD600:600
E,0.1133,0.1989,0.3964,0.3723,0.3508,0.2935,0.2927,0.3204,0.3356,0.3783,0.3355,0.1032,OD600:600
F,0.1043,0.1672,0.3653,0.3245,0.3126,0.3178,0.2717,0.3415,0.3343,0.3599,0.3024,0.3119,OD600:600
G,0.1013,0.1575,0.3676,0.3497,0.2564,0.2892,0.2466,0.2140,0.2856,0.2846,0.3013,0.2512,OD600:600
H,0.0912,0.3008,0.1483,0.1100,0.1073,0.1112,0.1147,0.1182,0.1117,0.1125,0.1021,0.0859,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1000,6000,0000,1600,0000,5000,0000,1500,6000,1200,0000,0000,479,520
B,0000,8500,9140,9810,2400,7000,8000,6190,6270,5800,0000,0000,479,520
C,7000,5990,5270,2900,0000,2000,4000,2020,1950,2430,0000,8000,479,520
D,1700,3560,2250,1520,0000,4000,0000,1060,1020,9600,3000,5000,479,520
E,8000,2110,9600,5300,3000,1800,6000,2700,3300,2000,0000,4000,479,520
F,0000,1590,5100,4000,1300,4000,1100,2400,3000,3000,0000,0000,479,520
G,0000,7400,3900,2900,1200,9000,0000,0000,1300,9000,0000,1000,479,520
H,0000,0000,3000,2400,9000,0000,0000,2300,0000,1500,5000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,2000,0000,0000,0000,3000,8000,3600,0000,1000,6000,3300,9000,579,616
B,1400,9700,5000,5000,12250,12229,12301,4836,4962,5079,1900,2000,579,616
C,1000,6000,3800,3000,3092,3745,3147,1437,1578,1508,2100,1200,579,616
D,0000,1300,1900,4300,1735,1469,2092,6680,5740,5400,2800,1000,579,616
E,1600,9000,2900,2300,8930,8490,7170,2470,2610,2630,2900,1300,579,616
F,0000,1200,2000,4000,4310,5830,4100,1520,1700,1970,2000,0000,579,616
G,0000,0000,1000,0000,1950,2030,1710,1070,1230,1010,9000,0000,579,616
H,0000,2600,2900,3000,1900,7000,5400,0000,3000,5300,1300,1700,579,616
