, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0395,0.0355,0.0373,0.0365,0.0366,0.0387,0.0368,0.0383,0.0381,0.0465,0.0369,0.0376,OD600:600
B,0.0412,0.6675,0.6655,0.6495,0.0594,0.0599,0.0598,0.4034,0.4006,0.3832,0.0399,0.0414,OD600:600
C,0.0433,0.6307,0.6202,0.6123,0.0464,0.0466,0.0480,0.3625,0.3639,0.3600,0.0394,0.0385,OD600:600
D,0.0374,0.3862,0.3724,0.3771,0.0449,0.0450,0.0443,0.2899,0.3055,0.2780,0.0378,0.0376,OD600:600
E,0.0393,0.2073,0.2045,0.1967,0.0431,0.0429,0.0434,0.1399,0.1359,0.1370,0.0385,0.0376,OD600:600
F,0.0368,0.1027,0.0961,0.0986,0.0456,0.0430,0.0438,0.0752,0.0768,0.0740,0.0385,0.0389,OD600:600
G,0.0381,0.0572,0.0662,0.0575,0.0451,0.0442,0.0436,0.0534,0.0528,0.0542,0.0389,0.0372,OD600:600
H,0.0368,0.0457,0.0383,0.0381,0.0361,0.0376,0.0360,0.0368,0.0370,0.0380,0.0382,0.0383,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,2500,1000,0000,2300,0000,0000,7000,0000,4000,1000,2000,0000,479,520
B,0000,1384,1406,1458,2300,1000,0000,1054,1040,9990,0000,0000,479,520
C,0000,1363,1399,1418,0000,0000,1100,1012,9740,9270,3000,4000,479,520
D,0000,7460,7360,7260,1000,0000,9000,6080,6270,6060,1000,2000,479,520
E,1300,3290,3270,3250,8000,1200,3200,2370,2410,2170,0000,0000,479,520
F,3200,1500,1350,1420,5000,2700,9000,1030,8700,1010,0000,5000,479,520
G,5000,8600,4600,5700,0000,3000,6000,6200,4600,3500,0000,1500,479,520
H,0000,0000,2000,0000,0000,1200,2000,1900,1100,0000,5000,1500,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,3100,0000,2200,0000,1800,1500,5000,2400,1300,3000,0000,0000,579,616
B,4000,6000,2700,4600,5980,7090,6080,5420,4730,5560,0000,3900,579,616
C,9000,0000,1300,1100,2530,2840,3290,3870,3330,4310,1500,5500,579,616
D,3500,1300,1400,5200,2080,1940,2430,3270,4250,2810,0000,7000,579,616
E,1600,9000,2300,1000,1870,1890,2110,1560,1530,1840,9000,3000,579,616
F,0000,3000,0000,2100,1830,2010,1780,9400,1350,1070,1500,1900,579,616
G,1500,1100,1700,1800,2920,2060,2320,1010,7800,9400,3000,0000,579,616
H,3300,0000,0000,1000,2300,1000,1000,1300,9000,4000,2100,9000,579,616
