, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0399,0.0372,0.0370,0.0376,0.0380,0.0375,0.0378,0.0385,0.0432,0.0456,0.0368,0.0387,OD600:600
B,0.0415,0.6493,0.6614,0.6640,0.9362,0.9334,0.8808,0.5636,0.5666,0.5764,0.0382,0.0374,OD600:600
C,0.0388,0.5580,0.5434,0.5463,0.4809,0.4309,0.4325,0.4317,0.4291,0.4310,0.0384,0.0384,OD600:600
D,0.0364,0.3385,0.3364,0.3391,0.1914,0.1956,0.1938,0.2598,0.2700,0.2513,0.0461,0.0374,OD600:600
E,0.0378,0.1475,0.1615,0.1895,0.0846,0.0848,0.0828,0.1247,0.1631,0.1699,0.0368,0.0381,OD600:600
F,0.0454,0.0797,0.0872,0.0835,0.0571,0.0678,0.0560,0.0820,0.0886,0.0965,0.0378,0.0394,OD600:600
G,0.0383,0.0624,0.0632,0.0554,0.0449,0.0443,0.0473,0.0516,0.0509,0.0626,0.0376,0.0365,OD600:600
H,0.0372,0.0708,0.0407,0.0408,0.0363,0.0381,0.0373,0.0483,0.0380,0.0387,0.0405,0.0380,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1500,2400,0000,2500,9000,5000,0000,5000,2600,0000,0000,1000,479,520
B,0000,1172,1159,1179,1300,3000,3000,7630,7690,7660,1000,5000,479,520
C,2400,8700,8290,8430,2600,9000,0000,5500,5710,5810,0000,2000,479,520
D,6000,4400,4500,4830,3000,1000,0000,2910,2960,2770,3000,0000,479,520
E,2000,1880,2160,2180,0000,4000,0000,1360,1420,1380,3000,0000,479,520
F,0000,1150,1070,1040,0000,0000,5000,6700,7500,7800,1000,0000,479,520
G,1000,4300,6800,4700,1600,0000,1200,2800,3400,3100,8000,4000,479,520
H,2000,0000,4000,0000,3000,2000,8000,1000,1000,6000,1000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,3000,0000,0000,1100,4100,3300,1000,2600,6100,2100,0000,1900,579,616
B,0000,3100,1400,6000,5113,5281,5025,1725,1779,1597,2000,3000,579,616
C,7000,0000,1600,1200,3762,4023,4090,1309,1502,1412,1000,0000,579,616
D,2100,5000,1100,9000,2392,2655,2478,8280,8070,7390,0000,9000,579,616
E,2700,2800,1300,1300,1146,1022,8860,3470,2530,2440,0000,4000,579,616
F,1300,0000,0000,3200,5230,5160,6100,2620,2470,2280,2500,1100,579,616
G,2400,0000,2200,1000,3070,3120,4130,1770,1890,1920,2700,2000,579,616
H,0000,2200,5000,5900,0000,1900,4000,0000,3700,0000,4500,4000,579,616
